Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
280000,282321,261000,300000,,1003 Marigold Ridge Dr,3,3,1651,170,2,1307,Sqft,2006,200,,https://www.movoto.com/home/1003-marigold-ridge-dr-cary-nc-27513-413_2339963
275000,242060,198000,296000,,846 Madison Ave,3,2,1235,223,5,9148,Sqft,1989,0,,https://www.movoto.com/home/846-madison-ave-cary-nc-27513-413_2339050
330000,299943,265000,333000,,104 Frohlich Dr,3,3,1587,208,9,7841,Sqft,1992,13,,https://www.movoto.com/home/104-frohlich-dr-cary-nc-27513-413_2338551
450000,460800,374000,570000,,105 Southwick Ct,4,3,2880,156,10,0.40,Acres,1992,13,,https://www.movoto.com/home/105-southwick-ct-cary-nc-27513-413_2155308
