Days,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Lot,Unit,Year,HOA,Open,Link
Listed Today,289900,,276000,320000,,104 Cougar Ct,4,3,1704,170,0.39,Acres,1981,0,,https://www.movoto.com/home/104-cougar-ct-cary-nc-27513-413_2340961
Listed Today,330000,336600,288000,430000,,304 Bayoak Dr,3,3,1800,183,0.27,Acres,1985,0,,https://www.movoto.com/home/304-bayoak-dr-cary-nc-27513-413_2134900
Listed Today,302900,350337,303000,373000,,156 Madison Square Ln,4,4,2073,146,2178,Sqft,2006,180,,https://www.movoto.com/home/156-madison-square-ln-cary-nc-27513-413_2340827
1,400000,,400000,596000,,3031 Weston Green Loop,4,3,3386,118,2178,Sqft,2007,225,Open 9/5,https://www.movoto.com/home/3031-weston-green-loop-cary-nc-27513-413_2285679
2,325000,264034,240000,325000,,108 Needle Park Dr,3,2,1361,239,9583,Sqft,1994,0,,https://www.movoto.com/home/108-needle-park-dr-cary-nc-27513-413_2186390
4,290000,280500,254000,302000,,107 Black Angus Run,3,3,1650,176,0.30,Acres,1984,0,,https://www.movoto.com/home/107-black-angus-run-cary-nc-27513-413_2340106
,345900,309750,273000,345000,,110 Huntington Cir,3,3,1770,,,,,,Open 9/5,https://www.movoto.com/home/110-huntington-cir-cary-nc-27513-413_2340016
6,280000,265811,241000,297000,,1003 Marigold Ridge Dr,3,3,1651,170,1307,Sqft,2006,200,Open 9/5,https://www.movoto.com/home/1003-marigold-ridge-dr-cary-nc-27513-413_2339963
9,275000,247000,226000,295000,,846 Madison Ave,3,2,1235,223,9148,Sqft,1989,0,,https://www.movoto.com/home/846-madison-ave-cary-nc-27513-413_2339050
12,309900,317668,283000,349000,,105 Marsena Ln,3,3,1937,160,1307,Sqft,2012,135,,https://www.movoto.com/home/105-marsena-ln-cary-nc-27513-pid_9lg443b5jh
13,330000,290421,260000,333000,,104 Frohlich Dr,3,3,1587,208,7841,Sqft,1992,13,,https://www.movoto.com/home/104-frohlich-dr-cary-nc-27513-413_2338551
,440000,,360000,441000,,522 Wood St,4,4,2463,,,,,,,https://www.movoto.com/home/522-wood-st-cary-nc-27513-413_2224000
13,325000,,300000,368000,,317 Luxe Hall Ln,3,3,2054,158,1307,Sqft,2020,75,,https://www.movoto.com/home/317-luxe-hall-ln-cary-nc-27513-413_2338499
14,474900,500688,389000,580000,,632 Chronicle Dr,4,4,3294,144,2614,Sqft,2017,178,,https://www.movoto.com/home/632-chronicle-dr-cary-nc-27513-413_2111240
14,314900,359040,314000,373000,10000,102 Smokehouse Ln,3,3,2040,154,0.32,Acres,1984,0,,https://www.movoto.com/home/102-smokehouse-ln-cary-nc-27513-413_2338133
20,469900,519120,470000,547000,10000,102 Pennsbury Ct,5,3,3090,152,0.31,Acres,1992,7,,https://www.movoto.com/home/102-pennsbury-ct-cary-nc-27513-413_2133819
21,325000,344400,296000,402000,5000,119 Keystone Dr,3,2,1680,193,7841,Sqft,1988,14,,https://www.movoto.com/home/119-keystone-dr-cary-nc-27513-413_2336966
,424900,445830,411000,481000,,206 Moravia Ln,4,3,2702,,,,,,,https://www.movoto.com/home/206-moravia-ln-cary-nc-27513-413_2331439
,399999,366183,306000,442000,,110 Carpenter Town Ln,3,3,2001,,,,,,Open 9/6,https://www.movoto.com/home/110-carpenter-town-ln-cary-nc-27513-413_2333568
41,350000,309573,284000,350000,5000,1113 Laurel Twist Rd,3,3,1947,180,3049,Sqft,2017,150,,https://www.movoto.com/home/1113-laurel-twist-rd-cary-nc-27513-413_2132772
42,465000,420237,375000,476000,,626 Chronicle Dr,4,4,2643,176,3485,Sqft,2017,178,,https://www.movoto.com/home/626-chronicle-dr-cary-nc-27513-413_2107344
48,340000,369228,327000,388000,,304 Wyatts Pond Ln,3,3,2122,160,0.29,Acres,1985,0,,https://www.movoto.com/home/304-wyatts-pond-ln-cary-nc-27513-413_2331717
,469900,501904,390000,581000,,360 Roberts Ridge Dr,5,4,3302,,,,,,,https://www.movoto.com/home/360-roberts-ridge-dr-cary-nc-27513-413_2110526
59,460000,371631,343000,460000,10000,705 Modena Dr,3,3,2199,209,0.70,Acres,1995,0,,https://www.movoto.com/home/705-modena-dr-cary-nc-27513-413_2329174
,340000,393720,335000,428000,,103 Wabash Cir,3,3,2040,,,,,,,https://www.movoto.com/home/103-wabash-cir-cary-nc-27513-413_2328701
75,419000,413881,348000,441000,,1028 Laurel Twist Rd,4,3,2449,171,3485,Sqft,2018,150,,https://www.movoto.com/home/1028-laurel-twist-rd-cary-nc-27513-413_2161538
97,485000,478160,395000,539000,5000,304 N West St,3,3,2780,174,6534,Sqft,2020,0,,https://www.movoto.com/home/304-n-west-st-cary-nc-27513-413_2321937
,450000,,384000,454000,500,101 Pinehill Way,4,3,2494,,,,,,,https://www.movoto.com/home/101-pinehill-way-cary-nc-27513-413_2320575
,461280,497688,461000,526000,18000,103 Roebling Ln,4,3,2796,,,,,,,https://www.movoto.com/home/103-roebling-ln-cary-nc-27513-413_2319752
,244200,271912,242000,298000,800,113 Grande Meadow Way,3,3,1658,,,,,,,https://www.movoto.com/home/113-grande-meadow-way-cary-nc-27513-413_2317558
155,263000,345072,263000,370000,3000,118 Oak Hill Loop,3,3,2054,128,3920,Sqft,1986,23,,https://www.movoto.com/home/118-oak-hill-loop-cary-nc-27513-413_2311312
156,270000,226746,204000,271000,10000,309 Middleton Ave,4,2,1326,204,0.33,Acres,1961,0,,https://www.movoto.com/home/309-middleton-ave-cary-nc-27513-413_2228546
1607,415000,622920,414000,679000,17000,1133 Evans Rd,5,3,3480,119,0.97,Acres,1965,0,,https://www.movoto.com/home/1133-evans-rd-cary-nc-27513-413_2060271
