Status,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,unit,Year,HOA,Open,Link
FOR SALE,374400,356570,294000,382000,2000,413 King Closer Dr,4,4,1970,190,10,436,Sqft,2020,154, ,https://www.movoto.com/home/413-king-closer-dr-cary-nc-27519-413_2333441
FOR SALE,367200,362688,349000,378000,2000,411 King Closer Dr,4,4,1889,194,10,4356,Sqft,2020,154, ,https://www.movoto.com/home/411-king-closer-dr-cary-nc-27519-413_2333422
FOR SALE,329900,281820,253000,330000,0,103 Oakmist Dr,3,3,1708,193,12,8276,Sqft,1992,10, ,https://www.movoto.com/home/103-oakmist-dr-cary-nc-27513-413_2333166
FOR SALE,365000,315414,276000,364000,0,1113 Laurel Twist Rd,3,3,1947,187,13,3049,Sqft,2017,150, ,https://www.movoto.com/home/1113-laurel-twist-rd-cary-nc-27513-413_2132772
FOR SALE,389900,358104,341000,389000,0,118 Bromfield Way,4,3,2082,187,13,0.30,Acres,1993,55,Open 8/8,https://www.movoto.com/home/118-bromfield-way-cary-nc-27519-413_2333027
FOR SALE,305000,381480,306000,410000,0,812 N Harrison Ave,4,3,2040,150,13,0.30,Acres,1975,0,Open 8/8,https://www.movoto.com/home/812-n-harrison-ave-cary-nc-27513-413_2332967
FOR SALE,425000,492802,424000,561000,0,1131 Brookhill Way,3,3,3119,136,13,5227,Sqft,2006,88, ,https://www.movoto.com/home/1131-brookhill-way-cary-nc-27519-413_2332924
Coming Soon - 07/23,340000,0,290000,435000,0,111 Canyon Run,3,3,2300,148,14,7841,Sqft,1991,14, ,https://www.movoto.com/home/111-canyon-run-cary-nc-27513-413_2332839
FOR SALE,475000,553320,475000,572000,0,613 Churton Pl,3,3,2120,224,14,6273,Sqft,2020,180, ,https://www.movoto.com/home/613-churton-pl-cary-nc-27518-413_2332808
FOR SALE,465000,370020,309000,465000,0,626 Chronicle Dr,4,4,2643,176,14,3485,Sqft,2017,178, ,https://www.movoto.com/home/626-chronicle-dr-cary-nc-27513-413_2107344
FOR SALE,459900,403104,387000,460000,17000,813 Churton Pl,3,2,1824,252,18,5009,Sqft,2020,180, ,https://www.movoto.com/home/813-churton-pl-cary-nc-27518-413_2331958
FOR SALE,498000,551278,494000,600000,20000,108 Bergeron Way,5,4,3029,164,19,0.30,Acres,1996,55, ,https://www.movoto.com/home/108-bergeron-way-cary-nc-27519-413_2331863
