Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
276500,272646,227000,293000,,108 Apricot Cir,3,3,1683,164,Listed Today,3485,Sqft,2002,110,,https://www.movoto.com/home/108-apricot-cir-morrisville-nc-27560-413_2337840
339900,370922,332000,414000,,102 Fairwood Dr,4,3,1942,175,Listed Today,0.35,Acres,1992,0,,https://www.movoto.com/home/102-fairwood-dr-morrisville-nc-27560-413_2337816
379500,362544,358000,380000,,1021 Lakebrink Dr,3,3,2184,174,10,3049,Sqft,2018,108,,https://www.movoto.com/home/1021-lakebrink-dr-morrisville-nc-27560-413_2336062
310000,328944,310000,362000,,339 Scotlow Way,3,3,1848,,,,,,,,https://www.movoto.com/home/339-scotlow-way-morrisville-nc-27560-413_2333803
430000,455962,413000,502000,,1404 Everette Fields Rd,4,3,2698,,,,,,,,https://www.movoto.com/home/1404-everette-fields-rd-morrisville-nc-27560-413_2333392
