Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
430000,419025,375000,450000,,1405 Hemby Ridge Ln,5,3,2775,,,,,,,,https://www.movoto.com/home/1405-hemby-ridge-ln-morrisville-nc-27560-413_2165705
378000,393120,377000,435000,,1040 Pemberly Ave,4,4,2340,162,8,8276,Sqft,2014,66,,https://www.movoto.com/home/1040-pemberly-ave-morrisville-nc-27560-413_2301596
270000,284592,269000,298000,,2148 Junewood Ln,3,3,1694,,,,,,,,https://www.movoto.com/home/2148-junewood-ln-morrisville-nc-27560-413_2335429
349900,330330,278000,400000,,102 State House Dr,3,3,2002,175,10,0.28,Acres,2004,40,,https://www.movoto.com/home/102-state-house-dr-morrisville-nc-27560-413_2335142
309000,323204,305000,333000,,809 Meeting Hall Dr,3,3,1649,187,11,4792,Sqft,2002,110,,https://www.movoto.com/home/809-meeting-hall-dr-morrisville-nc-27560-413_2334814
329900,286455,236000,339000,10000,104 State House Dr,3,3,1695,195,13,10454,Sqft,2004,31,,https://www.movoto.com/home/104-state-house-dr-morrisville-nc-27560-413_2334625
237500,267200,237000,282000,,705 Keystone Park Dr #55,3,3,1600,148,14,,,2009,154,,https://www.movoto.com/home/705-keystone-park-dr-apt-55-morrisville-nc-27560-413_2334371
315000,331047,280000,355000,,700 Meeting Hall Dr,3,3,1809,174,15,4792,Sqft,2002,110,,https://www.movoto.com/home/700-meeting-hall-dr-morrisville-nc-27560-pid_s64x43b5jh
385000,444024,386000,494000,,437 Liberty Hill Pass,4,3,2643,146,15,4356,Sqft,2015,72,,https://www.movoto.com/home/437-liberty-hill-pass-morrisville-nc-27560-413_2334008
295000,319594,289000,359000,,1001 Epiphany Rd,3,3,2189,135,16,2265,Sqft,2018,140,,https://www.movoto.com/home/1001-epiphany-rd-morrisville-nc-27560-413_2150532
275000,291725,275000,293000,,5417 Jessip St,3,3,1667,165,16,2657,Sqft,2015,143,,https://www.movoto.com/home/5417-jessip-st-morrisville-nc-27560-413_2333843
454900,532396,456000,593000,,1132 Survada Ln,5,4,3188,143,22,0.29,Acres,2013,70,,https://www.movoto.com/home/1132-survada-ln-morrisville-nc-27560-413_2172963
399900,457052,401000,494000,,301 Kirkeenan Cir,4,4,2804,,,,,,,,https://www.movoto.com/home/301-kirkeenan-cir-morrisville-nc-27560-413_2332780
390000,446168,389000,508000,,2023 Addenbrock Dr,4,3,2594,,,,,,,,https://www.movoto.com/home/2023-addenbrock-dr-morrisville-nc-27560-413_2332569
370000,390150,319000,459000,,116 Malvern Hill Ln,3,3,2295,161,23,9583,Sqft,2004,33,,https://www.movoto.com/home/116-malvern-hill-ln-morrisville-nc-27560-413_2332425
410000,428013,393000,463000,,404 Star Magnolia Dr,4,4,2503,164,25,6098,Sqft,2006,57,,https://www.movoto.com/home/404-star-magnolia-dr-morrisville-nc-27560-413_2267542
375000,402894,336000,482000,,1048 Gold Rock Ln,3,3,2487,151,30,4356,Sqft,2007,70,,https://www.movoto.com/home/1048-gold-rock-ln-morrisville-nc-27560-413_2180300
244000,245657,238000,259000,,1613 Grace Point Rd,3,3,1471,,,,,,,,https://www.movoto.com/home/1613-grace-point-rd-morrisville-nc-27560-413_2331092
420000,,421000,502000,10000,1940 Weaver Forest Way,4,3,2697,156,30,0.28,Acres,2010,49,,https://www.movoto.com/home/1940-weaver-forest-way-morrisville-nc-27560-413_2331077
285000,379743,285000,395000,,711 Keystone Park Dr #69,4,4,2247,127,34,1699,Sqft,2009,154,,https://www.movoto.com/home/711-keystone-park-dr-apt-69-morrisville-nc-27560-413_2330393
314800,362700,307000,421000,,127 Station Dr,4,3,2418,130,36,3920,Sqft,2011,30,,https://www.movoto.com/home/127-station-dr-morrisville-nc-27560-413_2329850
325000,309750,243000,350000,,105 Downing Grove Ct,3,2,1750,186,40,9583,Sqft,2001,33,,https://www.movoto.com/home/105-downing-grove-ct-morrisville-nc-27560-413_2329062
347000,360702,332000,388000,,120 Prestonian Pl,3,3,2073,167,43,2614,Sqft,1999,205,,https://www.movoto.com/home/120-prestonian-pl-morrisville-nc-27560-413_2328662
409900,407500,363000,455000,,2029 Kirkhaven Rd,3,3,2500,,,,,,,,https://www.movoto.com/home/2029-kirkhaven-rd-morrisville-nc-27560-413_2328473
405000,413036,393000,455000,5000,2212 Mayo Forest Ln,3,3,2444,166,45,0.30,Acres,2009,49,,https://www.movoto.com/home/2212-mayo-forest-ln-morrisville-nc-27560-413_2328170
369000,454424,370000,473000,19000,134 Prestonian Pl,3,3,2642,,,,,,,,https://www.movoto.com/home/134-prestonian-pl-morrisville-nc-27560-413_2327714
360000,354936,324000,382000,,1204 Midvale Ave,3,3,1929,187,51,3485,Sqft,2018,108,,https://www.movoto.com/home/1204-midvale-ave-morrisville-nc-27560-413_2326788
429900,493850,431000,524000,10000,155 Prestonian Pl,3,3,2975,,,,,,,,https://www.movoto.com/home/155-prestonian-pl-morrisville-nc-27560-413_2326058
344999,350168,288000,414000,5000,300 Valley Glen Dr,3,3,2072,167,75,10454,Sqft,2002,33,,https://www.movoto.com/home/300-valley-glen-dr-morrisville-nc-27560-413_2322217
369900,416178,347000,498000,3000,1028 Gold Rock Ln,3,3,2569,,,,,,,,https://www.movoto.com/home/1028-gold-rock-ln-morrisville-nc-27560-413_2188334
309990,358020,308000,394000,,1105 Garden Square Ln,3,3,1989,,,,,,,,https://www.movoto.com/home/1105-garden-square-ln-morrisville-nc-27560-413_2319720
