Year,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,HOA,Open,Link
2020,368900,363870,358000,369000,,1017 Urbana Dr #30,3,3,1866,198,Listed Today,2526,Sqft,90,,https://www.movoto.com/home/1017-urbana-dr-apt-30-morrisville-nc-27560-413_2339221
,353900,362208,355000,366000,,1013 Urbana Dr #29,3,3,1848,,,,,,,https://www.movoto.com/home/1013-urbana-dr-apt-29-morrisville-nc-27560-413_2339209
,394900,438563,395000,472000,,154 Grande Dr,3,3,2423,,,,,,Open 8/29,https://www.movoto.com/home/154-grande-dr-morrisville-nc-27560-413_2327168
,354900,358680,351000,362000,,1009 Urbana Dr #28,3,3,1830,,,,,,,https://www.movoto.com/home/1009-urbana-dr-apt-28-morrisville-nc-27560-413_2339138
2021,495000,515060,436000,555000,,150 Cotten Dr,4,3,2830,175,2,5227,Sqft,125,,https://www.movoto.com/home/150-cotten-dr-morrisville-nc-27560-413_2338830
2021,475000,485460,415000,529000,1000,140 Cotten Dr,4,4,2697,176,96,5663,Sqft,125,,https://www.movoto.com/home/140-cotten-dr-morrisville-nc-27560-413_2320708
2020,349900,356126,349000,367000,,1005 Urbana Dr #27,3,3,1763,198,1,2526,Sqft,90,,https://www.movoto.com/home/1005-urbana-dr-apt-27-morrisville-nc-27560-413_2339114
2020,367900,365736,358000,369000,,1001 Urbana Dr #26,3,3,1866,197,1,2526,Sqft,90,,https://www.movoto.com/home/1001-urbana-dr-apt-26-morrisville-nc-27560-413_2339095
,450000,405856,378000,452000,,176 Cotten Dr,3,3,2306,,,,,,,https://www.movoto.com/home/176-cotten-dr-morrisville-nc-27560-413_2338542
2020,367900,352230,347000,368000,,1400 Hopedale Dr #14,3,3,1770,208,22,2526,Sqft,90,,https://www.movoto.com/home/1400-hopedale-dr-apt-14-morrisville-nc-27560-413_2334973
2020,345000,,346000,356000,14000,1421 Hopedale Dr #44,3,3,1763,196,48,2265,Sqft,90,,https://www.movoto.com/home/1421-hopedale-dr-apt-44-morrisville-nc-27560-413_2329936
2020,326900,369228,327000,416000,,1050 Myers Point Dr,4,4,2122,154,61,1830,Sqft,130,,https://www.movoto.com/home/1050-myers-point-dr-morrisville-nc-27560-413_2327340
2020,374900,,339000,386000,15000,1025 Urbana Dr #32,3,4,2217,169,62,2788,Sqft,90,,https://www.movoto.com/home/1025-urbana-dr-apt-32-morrisville-nc-27560-413_2327033
2020,450000,392020,353000,450000,15000,172 Cotten Dr,4,4,2306,195,103,3920,Sqft,125,,https://www.movoto.com/home/172-cotten-dr-morrisville-nc-27560-413_2319420
2020,376000,,364000,386000,23000,1029 Urbana Dr #33,3,4,2217,170,119,2570,Sqft,90,,https://www.movoto.com/home/1029-urbana-dr-apt-33-morrisville-nc-27560-413_2316105
2020,326300,345886,327000,359000,,1042 Myers Point Dr,4,4,2122,154,134,1830,Sqft,130,,https://www.movoto.com/home/1042-myers-point-dr-morrisville-nc-27560-413_2313587
2020,356000,382398,357000,396000,,488 Church St,4,4,2346,152,135,2091,Sqft,130,,https://www.movoto.com/home/488-church-st-morrisville-nc-27560-413_2313397
2020,380000,,364000,386000,19000,1021 Urbana Dr #31,3,4,2217,171,145,2526,Sqft,90,,https://www.movoto.com/home/1021-urbana-dr-apt-31-morrisville-nc-27560-413_2311854
2020,360900,398982,360000,452000,3000,494 Church St,3,4,2293,157,179,2614,Sqft,130,,https://www.movoto.com/home/494-church-st-morrisville-nc-27560-413_2304852
2020,348000,355503,336000,369000,2000,508 Church St,3,4,2181,160,201,2091,Sqft,130,,https://www.movoto.com/home/508-church-st-morrisville-nc-27560-413_2300890
2018,379500,380016,358000,432000,,1021 Lakebrink Dr,3,3,2184,174,18,3049,Sqft,108,,https://www.movoto.com/home/1021-lakebrink-dr-morrisville-nc-27560-413_2336062
2006,489900,569778,490000,589000,,300 Ruthwin Dr,4,3,3201,153,18,9148,Sqft,60,,https://www.movoto.com/home/300-ruthwin-dr-morrisville-nc-27560-413_2336096
