Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,unit,Year,HOA,Open,Link
357900,327570,295000,366000,0,1328 Hopedale Dr #17,3,3,1830,196,2,2526,Sqft,2020,90,,https://www.movoto.com/home/1328-hopedale-dr-apt-17-morrisville-nc-27560-413_2335055
359900,412896,350000,469000,2000,506 Church St,4,4,2346,153,180,2047,Sqft,2020,130,,https://www.movoto.com/home/506-church-st-morrisville-nc-27560-413_2300959
360900,385224,342000,459000,3000,494 Church St,3,4,2293,157,159,2614,Sqft,2020,130,,https://www.movoto.com/home/494-church-st-morrisville-nc-27560-413_2304852
362900,376052,362000,388000,2000,484 Church St,4,4,2293,158,161,2614,Sqft,2020,130,,https://www.movoto.com/home/484-church-st-morrisville-nc-27560-413_2304377
365000,362186,342000,376000,20000,1405 Hopedale Dr #48,3,4,2222,164,20,2265,Sqft,2020,90,,https://www.movoto.com/home/1405-hopedale-dr-apt-48-morrisville-nc-27560-413_2331498
365000,359154,341000,375000,14000,1409 Hopedale Dr #47,3,4,2217,165,23,2265,Sqft,2020,90,,https://www.movoto.com/home/1409-hopedale-dr-apt-47-morrisville-nc-27560-413_2330747
367900,352230,347000,368000,0,1400 Hopedale Dr #14,3,3,1770,208,2,2526,Sqft,2020,90,,https://www.movoto.com/home/1400-hopedale-dr-apt-14-morrisville-nc-27560-413_2334973
369900,375066,366000,388000,0,1320 Hopedale Dr #19,3,3,1866,198,2,2526,Sqft,2020,90,,https://www.movoto.com/home/1320-hopedale-dr-apt-19-morrisville-nc-27560-413_2335061
369900,422422,343000,477000,4000,1129 Circandian Ct,4,3,2743,135,36,4356,Sqft,2008,66,,https://www.movoto.com/home/1129-circandian-ct-morrisville-nc-27560-413_2328301
374900,0,346000,375000,15000,1025 Urbana Dr #32,3,4,2217,169,42,2788,Sqft,2020,90,,https://www.movoto.com/home/1025-urbana-dr-apt-32-morrisville-nc-27560-413_2327033
376000,0,364000,439000,23000,1029 Urbana Dr #33,3,4,2217,170,99,2570,Sqft,2020,90,,https://www.movoto.com/home/1029-urbana-dr-apt-33-morrisville-nc-27560-413_2316105
