Days,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Lot,Unit,Year,HOA,Open,Link
,145000,,224/Sqft,224/Sqft,,750 Lazy Ln,3,3,—,,,,,,,https://www.movoto.com/home/750-lazy-ln-engelhard-nc-27824-416_637722
94,109000,368256,109000,368000,11000,101 Roper Ln,3,2,1644,66,0.48,Acres,1995,0,,https://www.movoto.com/home/101-roper-ln-engelhard-nc-27824-415_100217332
