Size,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Value,Days,Lot,unit,Year,HOA,Open,Link
2236,414990,400244,360000,438000,4000,110 Mazarin Ln #72,4,4,186,38,1873,Sqft,2020,141,,https://www.movoto.com/home/110-mazarin-ln-apt-72-cary-nc-27519-413_2327963
2210,404900,430950,387000,482000,0,440 Methven Grove Dr,3,3,183,3,2614,Sqft,2015,125,,https://www.movoto.com/home/440-methven-grove-dr-cary-nc-27519-413_2148498
2199,470000,376029,345000,471000,15000,705 Modena Dr,3,3,214,32,0.70,Acres,1995,0,,https://www.movoto.com/home/705-modena-dr-cary-nc-27513-413_2329174
2164,398000,0,281000,398000,6000,4000 Jockey Club Cir,4,3,184,220,5227,Sqft,2007,83,,https://www.movoto.com/home/4000-jockey-club-cir-cary-nc-27519-413_2287124
2127,360000,346701,319000,366000,9000,1304 Lake Pine Dr,4,2,169,38,0.33,Acres,1973,0,,https://www.movoto.com/home/1304-lake-pine-dr-cary-nc-27511-413_2328019
2122,340000,331032,289000,395000,0,304 Wyatts Pond Ln,3,3,160,21,0.29,Acres,1985,0,,https://www.movoto.com/home/304-wyatts-pond-ln-cary-nc-27513-413_2331717
2120,475000,521520,475000,579000,0,613 Churton Pl,3,3,224,15,6273,Sqft,2020,180,,https://www.movoto.com/home/613-churton-pl-cary-nc-27518-413_2332808
2113,355000,0,334000,431000,10000,120 Franklin Hills Pt,3,3,168,29,0.28,Acres,2007,187,Open 8/8,https://www.movoto.com/home/120-franklin-hills-pt-cary-nc-27519-413_2329783
2100,389900,346500,313000,393000,0,323 Stromer Dr,4,3,186,Listed Today,0.25,Acres,1995,0,Open 8/8,https://www.movoto.com/home/323-stromer-dr-cary-nc-27513-413_2335797
2091,350900,370107,351000,391000,0,107 Carswell Ln,3,3,168,1,10454,Sqft,1999,0,,https://www.movoto.com/home/107-carswell-ln-cary-nc-27519-413_2335556
2091,330000,368016,324000,437000,0,1217 Wellington Ln,4,3,158,1,0.43,Acres,1973,0,,https://www.movoto.com/home/1217-wellington-ln-cary-nc-27511-413_2335524
2082,389900,362268,341000,389000,0,118 Bromfield Way,4,3,187,14,0.30,Acres,1993,55,Open 8/8,https://www.movoto.com/home/118-bromfield-way-cary-nc-27519-413_2333027
2075,383280,408775,384000,436000,0,1645 Clayfire Dr,4,4,185,11,4356,Sqft,2020,154,,https://www.movoto.com/home/1645-clayfire-dr-cary-nc-27519-413_2333462
2068,345000,337084,310000,356000,0,291 High Meadow Dr,3,2,167,10,0.27,Acres,1978,28,,https://www.movoto.com/home/291-high-meadow-dr-cary-nc-27511-413_2333554
2040,305000,346800,306000,379000,0,812 N Harrison Ave,4,3,150,14,0.30,Acres,1975,0,Open 8/8,https://www.movoto.com/home/812-n-harrison-ave-cary-nc-27513-413_2332967
2033,349900,329346,305000,350000,0,122 Flora Mcdonald Ln,3,3,172,9,0.33,Acres,1979,28,,https://www.movoto.com/home/122-flora-mcdonald-ln-cary-nc-27511-413_2333750
2003,375000,0,304000,375000,0,126 Talon Dr,3,3,187,8,0.25,Acres,1994,13,,https://www.movoto.com/home/126-talon-dr-cary-nc-27518-413_2318750
1978,283999,320436,285000,378000,2000,134 Braeside Ct,4,4,144,29,1307,Sqft,2006,155,,https://www.movoto.com/home/134-braeside-ct-cary-nc-27519-413_2329885
1970,374400,380210,370000,388000,2000,413 King Closer Dr,4,4,190,11,436,Sqft,2020,154,,https://www.movoto.com/home/413-king-closer-dr-cary-nc-27519-413_2333441
1947,365000,315414,276000,364000,0,1113 Laurel Twist Rd,3,3,187,14,3049,Sqft,2017,150,,https://www.movoto.com/home/1113-laurel-twist-rd-cary-nc-27513-413_2132772
1934,339900,0,340000,362000,0,509 Catlin Rd,4,3,176,Listed Today,0.35,Acres,1994,17,Open 8/8,https://www.movoto.com/home/509-catlin-rd-cary-nc-27519-413_2335786
1913,425000,376861,295000,518000,0,241 Elverson Pl,3,2,222,Listed Today,6534,Sqft,2011,231,,https://www.movoto.com/home/241-elverson-pl-cary-nc-27519-413_2335753
1900,339900,326800,298000,353000,0,247 Joshua Glen Ln,4,3,179,37,3920,Sqft,2004,185,,https://www.movoto.com/home/247-joshua-glen-ln-cary-nc-27519-413_2328295
1895,345990,344890,282000,373000,4000,1016 Salt Glaze Ln,4,4,183,245,1525,Sqft,2019,154,,https://www.movoto.com/home/1016-salt-glaze-ln-cary-nc-27519-413_2291805
