Days,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Lot,Unit,Year,HOA,Open,Link
,398660,391152,357000,420000,,2002 Chipley Dr,3,3,2248,177,2614 Sqft,Size,2021,135,Open 11/1,https://www.movoto.com/home/2002-chipley-dr-cary-nc-27519-413_2350438
,390990,401850,331000,472000,30000,430 Clementine Dr #36,4,4,2350,166,1873 Sqft,Size,2021,141,,https://www.movoto.com/home/430-clementine-dr-apt-36-cary-nc-27519-413_2349261
,335530,329208,301000,354000,,2010 Chipley Dr,3,3,1892,177,2178 Sqft,Size,2021,135,,https://www.movoto.com/home/2010-chipley-dr-cary-nc-27519-413_2348849
,382980,392000,356000,419000,4000,2004 Chipley Dr,3,3,2240,171,2614 Sqft,Size,2021,135,Open 11/1,https://www.movoto.com/home/2004-chipley-dr-cary-nc-27519-413_2348601
,489000,594473,490000,674000,,408 Burnbank Dr,3,3,3179,154,0.34 Acres,Size,1997,95,,https://www.movoto.com/home/408-burnbank-dr-cary-nc-27519-413_2327733
,494990,515220,449000,579000,5000,844 Napier Dr #LOT 209,5,3,2770,179,4356 Sqft,Size,2020,133,,https://www.movoto.com/home/844-napier-dr-lot-209-cary-nc-27519-413_2348176
,373990,391932,371000,410000,2000,210 Mazarin Ln #LOT 50,4,4,2292,163,4356 Sqft,Size,2020,141,,https://www.movoto.com/home/210-mazarin-ln-lot-50-cary-nc-27519-413_2348161
,395990,387348,371000,410000,30000,428 Clementine Dr #LOT 35,4,4,2292,173,4356 Sqft,Size,2020,141,,https://www.movoto.com/home/428-clementine-dr-lot-35-cary-nc-27519-413_2348157
,411834,392621,373000,413000,,4225 Mahal Ave,3,3,1993,207,3920 Sqft,Size,2020,154,,https://www.movoto.com/home/4225-mahal-ave-cary-nc-27519-413_2347926
,391200,332000,313000,392000,,227 Adobe Pl,4,4,2075,189,4356 Sqft,Size,2020,154,,https://www.movoto.com/home/227-adobe-pl-cary-nc-27519-413_2347924
,388890,419150,388000,430000,,4230 Mahal Ave,4,4,2075,187,4356 Sqft,Size,2020,154,,https://www.movoto.com/home/4230-mahal-ave-cary-nc-27519-413_2347921
,379790,380210,368000,408000,,4228 Mahal Ave,4,4,1970,193,436 Sqft,Size,2020,154,,https://www.movoto.com/home/4228-mahal-ave-cary-nc-27519-413_2347661
,378790,334900,278000,380000,,225 Adobe Pl,4,4,1970,192,436 Sqft,Size,2020,154,,https://www.movoto.com/home/225-adobe-pl-cary-nc-27519-413_2347615
