Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
368990,392450,338000,461000,,218 Mazarin Ln #47,4,4,2350,157,5,1873,Sqft,2021,141,,https://www.movoto.com/home/218-mazarin-ln-apt-47-cary-nc-27519-413_2339134
365000,375840,322000,436000,,607 Rockcastle Dr,3,3,2160,,,,,,,,https://www.movoto.com/home/607-rockcastle-dr-cary-nc-27519-413_2338919
350000,307940,272000,349000,,731 Grace Hodge Way,3,3,1730,202,6,2614,Sqft,2009,181,,https://www.movoto.com/home/731-grace-hodge-way-cary-nc-27519-413_2338851
409900,401162,378000,429000,,532 Fumagalli Dr,3,4,2539,,,,,,,,https://www.movoto.com/home/532-fumagalli-dr-cary-nc-27519-413_2338152
385000,349860,290000,397000,5000,846 Firebrick Dr,3,3,2058,,,,,,,,https://www.movoto.com/home/846-firebrick-dr-cary-nc-27519-413_2338031
358730,363132,358000,370000,4000,110 Ashlar Ct,3,3,1834,196,13,4356,Sqft,2020,154,,https://www.movoto.com/home/110-ashlar-ct-cary-nc-27519-413_2337505
362740,363132,358000,370000,,102 Ashlar Ct,3,3,1834,198,13,4356,Sqft,2020,154,,https://www.movoto.com/home/102-ashlar-ct-cary-nc-27519-413_2337496
373130,363268,360000,372000,4000,210 Adobe Pl,3,3,1844,202,13,4356,Sqft,2020,154,,https://www.movoto.com/home/210-adobe-pl-cary-nc-27519-413_2337486
364180,365112,360000,372000,4000,136 Ashlar Ct,3,3,1844,197,13,4356,Sqft,2020,154,,https://www.movoto.com/home/136-ashlar-ct-cary-nc-27519-413_2337485
279000,289212,265000,306000,,332 Kinellan Ln,3,3,1878,149,15,1307,Sqft,2004,155,,https://www.movoto.com/home/332-kinellan-ln-cary-nc-27519-413_2337300
469000,522460,429000,586000,6000,521 Mesquite Ridge Pl,5,3,3020,155,16,8276,Sqft,2009,64,,https://www.movoto.com/home/521-mesquite-ridge-pl-cary-nc-27519-413_2205731
275000,279475,251000,313000,,604 Baucom Grove Ct,3,3,1597,,,,,,,,https://www.movoto.com/home/604-baucom-grove-ct-cary-nc-27519-413_2162761
495975,481140,457000,525000,,2905 Hampton Hedge Lane #70 - HARLEY A-2,3,3,2430,,,,,,,,https://www.movoto.com/home/2905-hampton-hedge-lane-apt-70-harley-a-2-cary-nc-27519-413_2335766
385665,364468,322000,438000,5000,320 Clementine Dr #9,4,4,2236,172,26,1873,Sqft,2020,141,,https://www.movoto.com/home/320-clementine-dr-apt-9-cary-nc-27519-413_2335018
269900,330084,269000,368000,,5017 Lalex Ln,3,4,1908,141,27,1307,Sqft,2014,163,,https://www.movoto.com/home/5017-lalex-ln-cary-nc-27519-413_2334873
376400,352630,278000,384000,2000,413 King Closer Dr,4,4,1970,191,34,436,Sqft,2020,154,,https://www.movoto.com/home/413-king-closer-dr-cary-nc-27519-413_2333441
369200,374022,365000,382000,2000,411 King Closer Dr,4,4,1889,195,34,4356,Sqft,2020,154,,https://www.movoto.com/home/411-king-closer-dr-cary-nc-27519-413_2333422
350000,387483,351000,392000,,1068 Kingston Grove Dr,3,3,2437,144,37,2614,Sqft,2007,0,,https://www.movoto.com/home/1068-kingston-grove-dr-cary-nc-27519-413_2332899
475000,490698,469000,545000,23000,108 Bergeron Way,5,4,3029,,,,,,,,https://www.movoto.com/home/108-bergeron-way-cary-nc-27519-413_2331863
399900,473193,401000,515000,25000,5013 Lake Grove Blvd,3,3,2331,172,43,6970,Sqft,2007,70,Open 9/6,https://www.movoto.com/home/5013-lake-grove-blvd-cary-nc-27519-413_2331776
424900,360850,297000,425000,15000,204 Sunstone Dr,3,3,2062,206,44,2178,Sqft,2009,242,Open 9/6,https://www.movoto.com/home/204-sunstone-dr-cary-nc-27519-413_2170590
469900,507300,414000,593000,,737 Toms Creek Rd,4,3,2670,176,45,0.25,Acres,2015,99,,https://www.movoto.com/home/737-toms-creek-rd-cary-nc-27519-413_2331416
499900,496672,437000,547000,10000,1623 Vineyard Mist Dr,3,3,2822,177,47,6970,Sqft,2017,240,,https://www.movoto.com/home/1623-vineyard-mist-dr-cary-nc-27519-413_2148417
475000,541328,474000,580000,15000,313 Millsfield Dr,4,3,2942,161,50,6534,Sqft,2006,56,,https://www.movoto.com/home/313-millsfield-dr-cary-nc-27519-413_2330453
