status,price,estimated,min,max,reduced,address,city,state,zip,beds,baths,size,value,days,lot,unit,year,hoa,open,link
FOR SALE,475000,510920,475000,536000,0,613 Churton Pl,Cary,NC,27519,3,3,2120,224,11,6273,Sqft,2020,180, ,https://www.movoto.com/home/613-churton-pl-cary-nc-27518-413_2332808
FOR SALE,465000,428166,378000,494000,0,626 Chronicle Dr,Cary,NC,27519,4,4,2643,176,11,3485,Sqft,2017,178, ,https://www.movoto.com/home/626-chronicle-dr-cary-nc-27513-413_2107344
FOR SALE,339500,0,241000,340000,0,410 Fly Bridge Dr,Cary,NC,27519,3,3,1827,186,12,3049,Sqft,2012,241, ,https://www.movoto.com/home/410-fly-bridge-dr-cary-nc-27519-413_2332364
FOR SALE,459900,472416,460000,478000,17,813 Churton Pl,Cary,NC,27519,3,2,1824,252,14,5009,Sqft,2020,180, ,https://www.movoto.com/home/813-churton-pl-cary-nc-27518-413_2331958
FOR SALE,498000,551278,494000,600000,20,108 Bergeron Way,Cary,NC,27519,5,4,3029,164,15,0.30,Acres,1996,55, ,https://www.movoto.com/home/108-bergeron-way-cary-nc-27519-413_2331863
Coming Soon - 07/18,414900,362390,339000,414000,0,5013 Lake Grove Blvd,Cary,NC,27519,3,3,2338,177,16,6970,Sqft,2007,70, ,https://www.movoto.com/home/5013-lake-grove-blvd-cary-nc-27519-413_2331776
Coming Soon - 07/17,449900,375284,344000,450000,0,204 Sunstone Dr,Cary,NC,27519,3,3,2062,218,16,2178,Sqft,2009,242, ,https://www.movoto.com/home/204-sunstone-dr-cary-nc-27519-413_2170590
FOR SALE,340000,333154,306000,382000,0,304 Wyatts Pond Ln,Cary,NC,27519,3,3,2122,160,17,0.29,Acres,1985,0, ,https://www.movoto.com/home/304-wyatts-pond-ln-cary-nc-27513-413_2331717
FOR SALE,439900,389928,357000,469000,10,100 Queensferry Rd,Cary,NC,27519,4,3,2321,190,17,0.48,Acres,1978,8,JSHandle@node,https://www.movoto.com/home/100-queensferry-rd-cary-nc-27511-413_2195485
FOR SALE,469900,483270,459000,502000,0,737 Toms Creek Rd,Cary,NC,27519,4,3,2670,176,18,0.25,Acres,2015,99, ,https://www.movoto.com/home/737-toms-creek-rd-cary-nc-27519-413_2331416
Coming Soon - 07/16,314900,266175,234000,315000,0,1128 Manchester Dr,Cary,NC,27519,3,2,1521,207,18,0.51,Acres,1975,0, ,https://www.movoto.com/home/1128-manchester-dr-cary-nc-27511-413_2331309
FOR SALE,469900,475488,423000,518000,0,360 Roberts Ridge Dr,Cary,NC,27519,5,4,3302,142,18,3485,Sqft,2017,140, ,https://www.movoto.com/home/360-roberts-ridge-dr-cary-nc-27513-413_2110526
FOR SALE,460000,562590,461000,638000,0,152 Wards Ridge Dr,Cary,NC,27519,4,4,3290,140,18,3485,Sqft,2016,140, ,https://www.movoto.com/home/152-wards-ridge-dr-cary-nc-27513-413_2331168
