Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
279000,294846,280000,312000,,332 Kinellan Ln,3,3,1878,149,,1307 Sqft,Size,2004,155,,https://www.movoto.com/home/332-kinellan-ln-cary-nc-27519-413_2337300
498500,507960,437000,587000,1000,1623 Vineyard Mist Dr,3,3,2822,177,,6970 Sqft,Size,2017,240,,https://www.movoto.com/home/1623-vineyard-mist-dr-cary-nc-27519-413_2148417
400000,537283,399000,608000,,5004 Highcroft Dr,4,3,2813,142,,6098 Sqft,Size,2004,48,,https://www.movoto.com/home/5004-highcroft-dr-cary-nc-27519-413_2005154
