Status,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
FOR SALE,385000,,311000,384000,,1265 Russet Ln,3,3,2076,185,3,3572,Sqft,2018,58, ,https://www.movoto.com/home/1265-russet-ln-apex-nc-27523-413_2337281
FOR SALE,352480,382806,353000,435000,,1021 Lathrop Ln #LOT 47,4,4,2502,141,3,2178,Sqft,2020,115, ,https://www.movoto.com/home/1021-lathrop-ln-lot-47-apex-nc-27523-413_2337056
FOR SALE,345000,,317000,413000,,1141 Little Gem Ln,4,4,2230,,,,,,, ,https://www.movoto.com/home/1141-little-gem-ln-apex-nc-27523-413_2337023
FOR SALE,350290,379287,350000,431000,,1035 Lathrop Ln #LOT 53,3,4,2479,141,4,2178,Sqft,2020,115, ,https://www.movoto.com/home/1035-lathrop-ln-lot-53-apex-nc-27523-413_2336872
FOR SALE,359900,347766,329000,376000,,849 Tunisian Dr,4,4,2334,154,5,2614,Sqft,2017,119, ,https://www.movoto.com/home/849-tunisian-dr-apex-nc-27523-413_2336571
FOR SALE,393049,,392000,444000,,925 Haybeck Ln #101,3,3,2760,142,9,3049,Sqft,2020,146, ,https://www.movoto.com/home/925-haybeck-ln-apt-101-apex-nc-27523-413_2336024
Coming Soon - 08/07,349000,343350,323000,398000,,729 Bay Bouquet Ln,4,3,2289,152,10,6534,Sqft,2011,46, ,https://www.movoto.com/home/729-bay-bouquet-ln-apex-nc-27523-413_2335814
FOR SALE,359260,380304,353000,435000,,1003 Lathrop Ln #LOT 39,3,4,2502,144,12,2178,Sqft,2020,115, ,https://www.movoto.com/home/1003-lathrop-ln-lot-39-apex-nc-27523-413_2335190
FOR SALE,475000,445200,406000,515000,,2117 Turling Way,5,3,2800,170,16,7405,Sqft,2018,65, ,https://www.movoto.com/home/2117-turling-way-apex-nc-27523-413_2334612
FOR SALE,439900,439153,433000,445000,,513 Rowanwood Way,4,4,3071,,,,,,, ,https://www.movoto.com/home/513-rowanwood-way-apex-nc-27523-413_2116773
FOR SALE,359720,,339000,387000,,1649 Wimberly Rd #39,4,4,2405,150,19,2178,Sqft,2020,146, ,https://www.movoto.com/home/1649-wimberly-rd-apt-39-apex-nc-27523-413_2333918
FOR SALE,344900,351866,316000,412000,100,1125 Little Gem Ln,4,4,2227,155,23,3049,Sqft,2017,152, ,https://www.movoto.com/home/1125-little-gem-ln-apex-nc-27523-413_2294177
FOR SALE,359900,388056,360000,411000,10000,885 Tunisian Dr,4,4,2553,141,30,1742,Sqft,2018,119, ,https://www.movoto.com/home/885-tunisian-dr-apex-nc-27523-413_2331807
FOR SALE,425000,,418000,532000,,2033 Patapsco Dr,4,3,2921,145,31,7405,Sqft,2007,55, ,https://www.movoto.com/home/2033-patapsco-dr-apex-nc-27523-413_2312206
FOR SALE,404990,305709,291000,405000,,1185 St Cloud Loop #LOT 57,3,2,1689,240,35,0.31,Acres,2020,140, ,https://www.movoto.com/home/1185-st-cloud-loop-lot-57-apex-nc-27523-413_2330625
FOR SALE,325000,434980,325000,534000,25000,4300 Green Level West Rd,3,2,1673,194,36,0.85,Acres,1968,0, ,https://www.movoto.com/home/4300-green-level-west-rd-apex-nc-27523-413_2330519
FOR SALE,396156,,367000,478000,1000,923 Haybeck Ln #102,4,4,2582,153,40,4008,Sqft,2020,146, ,https://www.movoto.com/home/923-haybeck-ln-apt-102-apex-nc-27523-413_2329706
