Year,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,HOA,Open,Link
,385000,,311000,384000,,1265 Russet Ln,3,3,2076,,,,,,,https://www.movoto.com/home/1265-russet-ln-apex-nc-27523-413_2337281
2020,352480,382806,353000,435000,,1021 Lathrop Ln #LOT 47,4,4,2502,141,4,2178,Sqft,115,,https://www.movoto.com/home/1021-lathrop-ln-lot-47-apex-nc-27523-413_2337056
,345000,,317000,413000,,1141 Little Gem Ln,4,4,2230,,,,,,,https://www.movoto.com/home/1141-little-gem-ln-apex-nc-27523-413_2337023
2021,489515,389944,375000,489000,,79 Elk River Dr,3,3,2468,198,153,7100,Sqft,210,,https://www.movoto.com/home/79-elk-river-dr-apex-nc-27523-413_2308582
2021,483830,343746,295000,484000,,75 Elk River Dr,3,3,2034,238,160,6752,Sqft,210,,https://www.movoto.com/home/75-elk-river-dr-apex-nc-27502-413_2307158
2020,350290,379287,350000,431000,,1035 Lathrop Ln #LOT 53,3,4,2479,141,5,2178,Sqft,115,,https://www.movoto.com/home/1035-lathrop-ln-lot-53-apex-nc-27523-413_2336872
2020,393049,,392000,444000,,925 Haybeck Ln #101,3,3,2760,142,10,3049,Sqft,146,,https://www.movoto.com/home/925-haybeck-ln-apt-101-apex-nc-27523-413_2336024
2020,423070,390981,349000,455000,5000,1113 Russet Ln #138,3,4,2459,172,127,3485,Sqft,60,,https://www.movoto.com/home/1113-russet-ln-apt-138-apex-nc-27523-413_2313364
2018,359900,388056,360000,411000,10000,885 Tunisian Dr,4,4,2553,141,31,1742,Sqft,119,,https://www.movoto.com/home/885-tunisian-dr-apex-nc-27523-413_2331807
2017,359900,347766,329000,376000,,849 Tunisian Dr,4,4,2334,154,6,2614,Sqft,119,,https://www.movoto.com/home/849-tunisian-dr-apex-nc-27523-413_2336571
,359260,380304,353000,435000,,1003 Lathrop Ln #LOT 39,3,4,2502,,,,,,,https://www.movoto.com/home/1003-lathrop-ln-lot-39-apex-nc-27523-413_2335190
,475000,428400,406000,476000,,2117 Turling Way,5,3,2800,,,,,,,https://www.movoto.com/home/2117-turling-way-apex-nc-27523-413_2334612
2020,359720,,339000,387000,,1649 Wimberly Rd #39,4,4,2405,150,20,2178,Sqft,146,,https://www.movoto.com/home/1649-wimberly-rd-apt-39-apex-nc-27523-413_2333918
2017,439900,439153,433000,445000,,513 Rowanwood Way,4,4,3071,143,17,3920,Sqft,150,,https://www.movoto.com/home/513-rowanwood-way-apex-nc-27523-413_2116773
,344900,351866,316000,412000,100,1125 Little Gem Ln,4,4,2227,,,,,,,https://www.movoto.com/home/1125-little-gem-ln-apex-nc-27523-413_2294177
2020,373312,,350000,397000,10000,1639 Wimberly Rd #35,4,4,2465,151,88,3049,Sqft,146,,https://www.movoto.com/home/1639-wimberly-rd-apt-35-apex-nc-27523-413_2320834
2020,369871,,370000,453000,10000,935 Haybeck Ln #97,3,4,2451,151,310,3877,Sqft,146,,https://www.movoto.com/home/935-haybeck-ln-apt-97-apex-nc-27523-413_2283836
2020,374289,,350000,397000,10000,943 Haybeck Ln #93,4,4,2465,152,310,3093,Sqft,146,,https://www.movoto.com/home/943-haybeck-ln-apt-93-apex-nc-27523-413_2283818
2018,334900,281342,272000,335000,4000,841 Salem Pointe Pl,3,3,1927,174,52,2614,Sqft,120,,https://www.movoto.com/home/841-salem-pointe-pl-apex-nc-27523-413_2209083
2017,399000,363825,349000,398000,,813 Tunisian Dr,3,4,2475,161,43,2657,Sqft,125,,https://www.movoto.com/home/813-tunisian-dr-apex-nc-27523-413_2329289
2007,425000,,418000,532000,,2033 Patapsco Dr,4,3,2921,145,32,7405,Sqft,55,,https://www.movoto.com/home/2033-patapsco-dr-apex-nc-27523-413_2312206
,404990,305709,291000,405000,,1185 St Cloud Loop #LOT 57,3,2,1689,,,,,,,https://www.movoto.com/home/1185-st-cloud-loop-lot-57-apex-nc-27523-413_2330625
2020,396156,,367000,478000,1000,923 Haybeck Ln #102,4,4,2582,153,41,4008,Sqft,146,,https://www.movoto.com/home/923-haybeck-ln-apt-102-apex-nc-27523-413_2329706
1968,325000,434980,325000,534000,25000,4300 Green Level West Rd,3,2,1673,194,37,0.85,Acres,0,,https://www.movoto.com/home/4300-green-level-west-rd-apex-nc-27523-413_2330519
,372631,393807,373000,426000,7000,1633 Wimberly Rd #32,4,4,2643,,,,,,,https://www.movoto.com/home/1633-wimberly-rd-apt-32-apex-nc-27523-413_2319658
,382546,,373000,426000,3000,802 Patriot Summit Ln #87,4,4,2643,,,,,,,https://www.movoto.com/home/802-patriot-summit-ln-apt-87-apex-nc-27523-413_2306047
