Status,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
Coming Soon - 08/13,320000,258368,251000,320000,,1547 Crafton Way,3,3,1468,218,2,1307,Sqft,2013,181, ,https://www.movoto.com/home/1547-crafton-way-raleigh-nc-27607-pid_jzg443b5jh
Coming Soon - 08/10,500000,736144,500000,967000,,1704 Dixie Trl,4,3,2648,189,6,0.29,Acres,1964,0, ,https://www.movoto.com/home/1704-dixie-trl-raleigh-nc-27607-413_2336272
FOR SALE,395000,429528,308000,594000,,3300 Wade Ave,3,2,1627,243,18,0.33,Acres,1978,0, ,https://www.movoto.com/home/3300-wade-ave-raleigh-nc-27607-413_2274242
FOR SALE,295000,,242000,467000,5000,2923 Okelly St,4,2,1280,,,,,,, ,https://www.movoto.com/home/2923-okelly-st-raleigh-nc-27607-413_2333155
SALE PENDING,450000,514808,434000,616000,,3340 Hampton Rd,5,3,2536,,,,,,, ,https://www.movoto.com/home/3340-hampton-rd-raleigh-nc-27607-413_2336659
IN CONTRACT,425000,376992,358000,424000,,1314 Rodessa Run,3,3,2142,198,5,3920,Sqft,2012,125, ,https://www.movoto.com/home/1314-rodessa-run-raleigh-nc-27607-413_2336432
IN CONTRACT,485000,525132,336000,716000,,3314 Ridgecrest Ct,3,3,2012,241,16,2178,Sqft,1986,400, ,https://www.movoto.com/home/3314-ridgecrest-ct-raleigh-nc-27607-413_2334559
IN CONTRACT,459900,403636,380000,468000,,5636 Wade Park Blvd,3,3,2147,214,17,3485,Sqft,2012,125, ,https://www.movoto.com/home/5636-wade-park-blvd-raleigh-nc-27607-413_2334033
IN CONTRACT,315000,278795,258000,329000,,1404 Crafton Way,3,3,1507,209,18,1307,Sqft,2011,181, ,https://www.movoto.com/home/1404-crafton-way-raleigh-nc-27607-413_2333975
IN CONTRACT,400000,444312,231000,608000,,3327 Lake Boone Trl,3,3,2178,184,26,0.40,Acres,1959,0, ,https://www.movoto.com/home/3327-lake-boone-trl-raleigh-nc-27607-413_2332347
SALE PENDING,315000,281624,261000,327000,,1525 Crafton Way,3,3,1498,,,,,,, ,https://www.movoto.com/home/1525-crafton-way-raleigh-nc-27607-413_2331219
SALE PENDING,464900,,367000,466000,,5610 Wade Park Blvd,4,4,2196,212,34,4356,Sqft,2012,125, ,https://www.movoto.com/home/5610-wade-park-blvd-raleigh-nc-27607-413_2330716
IN CONTRACT,325000,277488,257000,325000,,1411 Ardara Ln,3,3,1476,220,47,2614,Sqft,2012,181, ,https://www.movoto.com/home/1411-ardara-ln-raleigh-nc-27607-413_2328216
SALE PENDING,317000,279350,258000,329000,,1416 Ardara Ln,3,3,1510,,,,,,, ,https://www.movoto.com/home/1416-ardara-ln-raleigh-nc-27607-413_2308073
IN CONTRACT,449900,548028,443000,639000,,2108 Myron Dr,4,3,2342,192,52,0.31,Acres,1965,0, ,https://www.movoto.com/home/2108-myron-dr-raleigh-nc-27607-413_2327041
IN CONTRACT,309900,263536,211000,310000,,1805 Dorton Rd,3,2,1456,213,69,0.71,Acres,1966,0, ,https://www.movoto.com/home/1805-dorton-rd-raleigh-nc-27607-413_2323832
IN CONTRACT,319000,338400,313000,392000,5000,6331 Grace Lily Dr,3,3,1800,177,74,2178,Sqft,2018,164, ,https://www.movoto.com/home/6331-grace-lily-dr-raleigh-nc-27607-413_2186589
IN CONTRACT,419999,,217000,655000,,3108 Orton Pl,4,3,2046,,,,,,, ,https://www.movoto.com/home/3108-orton-pl-raleigh-nc-27607-413_2178117
SALE PENDING,398518,389160,360000,451000,,1607 Wooster St,3,4,2070,193,107,1002,Sqft,2020,120, ,https://www.movoto.com/home/1607-wooster-st-raleigh-nc-27607-413_2316729
SALE PENDING,375000,385588,357000,447000,,1603 Wooster St,3,4,2051,183,209,1002,Sqft,2020,120, ,https://www.movoto.com/home/1603-wooster-st-raleigh-nc-27607-413_2297468
SALE PENDING,381000,385020,354000,451000,,1605 Wooster St,3,4,2070,184,219,1002,Sqft,2020,120, ,https://www.movoto.com/home/1605-wooster-st-raleigh-nc-27607-413_2295965
SALE PENDING,395000,391980,363000,455000,,1601 Wooster St,3,4,2085,189,292,1002,Sqft,2020,120, ,https://www.movoto.com/home/1601-wooster-st-raleigh-nc-27607-413_2286358
SALE PENDING,390000,391980,363000,455000,,1611 Wooster St,3,4,2085,,,,,,, ,https://www.movoto.com/home/1611-wooster-st-raleigh-nc-27607-413_2285730
SALE PENDING,375000,385588,357000,447000,,1609 Wooster St,3,4,2051,183,296,1002,Sqft,2020,120, ,https://www.movoto.com/home/1609-wooster-st-raleigh-nc-27607-413_2285725
