Status,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
FOR SALE,339900,314442,266000,388000,,1114 Ivy Ln,4,3,1941,175,Listed Today,0.38,Acres,1972,0,Open 9/5,https://www.movoto.com/home/1114-ivy-ln-cary-nc-27511-413_2340419
Coming Soon - 09/02,295000,252700,231000,295000,,109 Cameron Ct,3,2,1444,204,1,10019,Sqft,1979,29,Open 9/6,https://www.movoto.com/home/109-cameron-ct-cary-nc-27511-413_2340684
FOR SALE,350000,352605,293000,427000,,1218 Oxford Pl,4,2,2137,164,1,0.32,Acres,1968,0, ,https://www.movoto.com/home/1218-oxford-pl-cary-nc-27511-413_2340669
FOR SALE,365000,409456,344000,490000,,508 Greenwood Dr,3,3,2512,145,1,0.55,Acres,1972,0, ,https://www.movoto.com/home/508-greenwood-dr-cary-nc-27511-413_2340589
FOR SALE,279900,305690,278000,337000,,605 Samuel Cary Dr,3,4,1985,141,1,2178,Sqft,2008,153, ,https://www.movoto.com/home/605-samuel-cary-dr-cary-nc-27511-413_2340530
FOR SALE,349900,272376,239000,349000,,508 Lochness Ln,3,2,1746,,,,,,, ,https://www.movoto.com/home/508-lochness-ln-cary-nc-27511-413_2209130
FOR SALE,425000,493248,402000,528000,,118 Castlewood Dr,4,3,2936,145,3,0.39,Acres,1979,4,Open 9/5,https://www.movoto.com/home/118-castlewood-dr-cary-nc-27511-413_2340179
FOR SALE,310000,,278000,348000,5000,1616 Burnley Dr,4,3,1738,178,7,0.28,Acres,1978,0, ,https://www.movoto.com/home/1616-burnley-dr-cary-nc-27511-413_2339621
FOR SALE,335000,366275,335000,414000,,911 Balmoral Dr,3,3,2093,,,,,,, ,https://www.movoto.com/home/911-balmoral-dr-cary-nc-27511-413_2338798
Coming Soon - 08/17,425000,373896,369000,425000,,200 Coventry Ln,3,2,2308,184,17,0.27,Acres,1986,90, ,https://www.movoto.com/home/200-coventry-ln-cary-nc-27511-413_2337631
FOR SALE,227000,249575,228000,285000,1000,107 Clancy Cir,3,3,1675,136,19,3920,Sqft,1984,361, ,https://www.movoto.com/home/107-clancy-cir-cary-nc-27511-413_2241220
FOR SALE,315000,263608,254000,314000,,1607 Dunblane Ct,4,2,1588,198,20,0.29,Acres,1976,0,Open 9/5,https://www.movoto.com/home/1607-dunblane-ct-cary-nc-27511-413_2337121
Coming Soon - 08/12,299999,318200,292000,366000,,235 Harbor Creek Dr,4,3,2150,,,,,,, ,https://www.movoto.com/home/235-harbor-creek-dr-cary-nc-27511-413_2336595
FOR SALE,349900,349434,345000,354000,,113 Flora Mcdonald Ln,3,3,2157,162,27,0.30,Acres,1978,28,Open 9/6,https://www.movoto.com/home/113-flora-mcdonald-ln-cary-nc-27511-413_2335997
FOR SALE,335000,353628,331000,381000,10000,291 High Meadow Dr,3,2,2068,162,37,0.27,Acres,1978,28, ,https://www.movoto.com/home/291-high-meadow-dr-cary-nc-27511-413_2333554
FOR SALE,345000,363717,340000,425000,15000,1304 Lake Pine Dr,4,2,2127,162,65,0.33,Acres,1973,0, ,https://www.movoto.com/home/1304-lake-pine-dr-cary-nc-27511-413_2328019
FOR SALE,325000,407468,325000,474000,12000,607 SE Maynard Rd,6,3,2369,137,69,0.33,Acres,1969,0, ,https://www.movoto.com/home/607-se-maynard-rd-cary-nc-27511-413_2327346
FOR SALE,350000,351780,309000,416000,,1119 Ralph Dr,4,3,2132,,,,,,, ,https://www.movoto.com/home/1119-ralph-dr-cary-nc-27511-pid_5qsy43b5jh
IN CONTRACT,269900,249612,217000,274000,,201 Glen Bonnie Ln,3,2,1342,,,,,,, ,https://www.movoto.com/home/201-glen-bonnie-ln-cary-nc-27511-413_2339930
SALE PENDING,210000,,197000,247000,,201 Virens Dr,3,3,1452,145,7,1307,Sqft,1998,81, ,https://www.movoto.com/home/201-virens-dr-cary-nc-27511-413_2339668
SALE PENDING,319000,306306,290000,350000,4000,1126 Manchester Dr,4,3,2002,159,7,0.52,Acres,1973,0, ,https://www.movoto.com/home/1126-manchester-dr-cary-nc-27511-413_2257545
IN CONTRACT,179900,225060,180000,243000,,1020 Randolph Ct,3,3,1364,132,7,1742,Sqft,1974,170, ,https://www.movoto.com/home/1020-randolph-ct-cary-nc-27511-413_2339417
IN CONTRACT,440000,448200,392000,486000,1000,304 King George Loop,4,3,2700,163,13,0.42,Acres,1986,14, ,https://www.movoto.com/home/304-king-george-loop-cary-nc-27511-413_2268146
IN CONTRACT,325000,300651,244000,356000,,1124 Manchester Dr,4,3,1779,183,13,0.35,Acres,1973,0, ,https://www.movoto.com/home/1124-manchester-dr-cary-nc-27511-413_2338588
SALE PENDING,399900,435183,375000,487000,,104 Eagle Ct,4,3,2737,146,13,0.38,Acres,1978,28, ,https://www.movoto.com/home/104-eagle-ct-cary-nc-27511-413_2338570
IN CONTRACT,329900,266589,253000,331000,,622 Sloan Dr,3,2,1559,,,,,,, ,https://www.movoto.com/home/622-sloan-dr-cary-nc-27511-413_2338504
