Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,unit,Year,HOA,Open,Link
350000,360453,326000,433000,5000,609 Balsam Fir Dr,4,4,2267,154,9,1742,Sqft,2016,241,,https://www.movoto.com/home/609-balsam-fir-dr-cary-nc-27519-413_2313673
435000,471528,384000,519000,15000,403 Canon Gate Dr,4,3,2664,163,9,0.25,Acres,1999,48,,https://www.movoto.com/home/403-canon-gate-dr-cary-nc-27518-413_2333949
374400,380210,370000,388000,2000,413 King Closer Dr,4,4,1970,190,12,436,Sqft,2020,154,,https://www.movoto.com/home/413-king-closer-dr-cary-nc-27519-413_2333441
367200,334353,323000,366000,2000,411 King Closer Dr,4,4,1889,194,12,4356,Sqft,2020,154,,https://www.movoto.com/home/411-king-closer-dr-cary-nc-27519-413_2333422
459900,403104,387000,460000,17000,813 Churton Pl,3,2,1824,252,19,5009,Sqft,2020,180,,https://www.movoto.com/home/813-churton-pl-cary-nc-27518-413_2331958
498000,542191,494000,566000,20000,108 Bergeron Way,5,4,3029,164,20,0.30,Acres,1996,55,,https://www.movoto.com/home/108-bergeron-way-cary-nc-27519-413_2331863
439900,413138,367000,469000,10000,100 Queensferry Rd,4,3,2321,190,22,0.48,Acres,1978,8,Open 8/9,https://www.movoto.com/home/100-queensferry-rd-cary-nc-27511-413_2195485
499900,578510,499000,641000,10000,1623 Vineyard Mist Dr,3,3,2822,177,25,6970,Sqft,2017,240,,https://www.movoto.com/home/1623-vineyard-mist-dr-cary-nc-27519-413_2148417
475000,520734,444000,600000,15000,313 Millsfield Dr,4,3,2942,161,28,6534,Sqft,2006,56,,https://www.movoto.com/home/313-millsfield-dr-cary-nc-27519-413_2330453
365000,0,328000,449000,10000,116 Silverridge Ct,4,4,2413,151,28,0.30,Acres,1992,14,,https://www.movoto.com/home/116-silverridge-ct-cary-nc-27513-413_2330398
283999,320436,285000,378000,2000,134 Braeside Ct,4,4,1978,144,30,1307,Sqft,2006,155,Open 8/9,https://www.movoto.com/home/134-braeside-ct-cary-nc-27519-413_2329885
355000,0,334000,431000,10000,120 Franklin Hills Pt,3,3,2113,168,30,0.28,Acres,2007,187,Open 8/9,https://www.movoto.com/home/120-franklin-hills-pt-cary-nc-27519-413_2329783
429900,499748,430000,547000,5000,524 Cedar Ridge Rd,4,3,2474,174,156,5227,Sqft,2017,127,,https://www.movoto.com/home/524-cedar-ridge-rd-cary-nc-27513-413_2133553
387500,368420,283000,558000,2000,110 Prestwick Pl,3,3,2180,178,163,3049,Sqft,1984,340,,https://www.movoto.com/home/110-prestwick-pl-cary-nc-27511-413_2261077
337900,363264,339000,373000,6000,2032 Chipley Dr,3,3,1892,179,197,2004,Sqft,2020,135,,https://www.movoto.com/home/2032-chipley-dr-cary-nc-27519-413_2298176
495000,418600,356000,494000,50000,109 Putney Dr,4,3,2600,190,208,8015,Sqft,2021,40,Open 8/9,https://www.movoto.com/home/109-putney-dr-cary-nc-27518-413_2296285
398000,0,294000,480000,6000,4000 Jockey Club Cir,4,3,2164,184,221,5227,Sqft,2007,83,,https://www.movoto.com/home/4000-jockey-club-cir-cary-nc-27519-413_2287124
500000,538006,457000,638000,30000,926 Regency Cottage Pl #LOT 117,4,4,3241,154,240,4356,Sqft,2020,265,,https://www.movoto.com/home/926-regency-cottage-pl-lot-117-cary-nc-27518-413_2292478
345990,344890,282000,373000,4000,1016 Salt Glaze Ln,4,4,1895,183,246,1525,Sqft,2019,154,,https://www.movoto.com/home/1016-salt-glaze-ln-cary-nc-27519-413_2291805
