Size,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Value,Days,Lot,Unit,Year,HOA,Open,Link
2936,425000,493248,402000,528000,,118 Castlewood Dr,4,3,145,3,0.39,Acres,1979,4,Open 9/5,https://www.movoto.com/home/118-castlewood-dr-cary-nc-27511-413_2340179
2512,365000,409456,344000,490000,,508 Greenwood Dr,3,3,145,1,0.55,Acres,1972,0,,https://www.movoto.com/home/508-greenwood-dr-cary-nc-27511-413_2340589
2369,325000,407468,325000,474000,12000,607 SE Maynard Rd,6,3,137,69,0.33,Acres,1969,0,,https://www.movoto.com/home/607-se-maynard-rd-cary-nc-27511-413_2327346
2157,349900,349434,345000,354000,,113 Flora Mcdonald Ln,3,3,162,27,0.30,Acres,1978,28,Open 9/6,https://www.movoto.com/home/113-flora-mcdonald-ln-cary-nc-27511-413_2335997
2137,350000,352605,293000,427000,,1218 Oxford Pl,4,2,164,1,0.32,Acres,1968,0,,https://www.movoto.com/home/1218-oxford-pl-cary-nc-27511-413_2340669
2132,350000,351780,309000,416000,,1119 Ralph Dr,4,3,,,,,,,,https://www.movoto.com/home/1119-ralph-dr-cary-nc-27511-pid_5qsy43b5jh
2127,345000,363717,340000,425000,15000,1304 Lake Pine Dr,4,2,162,65,0.33,Acres,1973,0,,https://www.movoto.com/home/1304-lake-pine-dr-cary-nc-27511-413_2328019
2093,335000,366275,335000,414000,,911 Balmoral Dr,3,3,,,,,,,,https://www.movoto.com/home/911-balmoral-dr-cary-nc-27511-413_2338798
2068,335000,353628,331000,381000,10000,291 High Meadow Dr,3,2,162,37,0.27,Acres,1978,28,,https://www.movoto.com/home/291-high-meadow-dr-cary-nc-27511-413_2333554
1985,279900,305690,278000,337000,,605 Samuel Cary Dr,3,4,141,1,2178,Sqft,2008,153,,https://www.movoto.com/home/605-samuel-cary-dr-cary-nc-27511-413_2340530
1941,339900,314442,266000,388000,,1114 Ivy Ln,4,3,175,Listed Today,0.38,Acres,1972,0,Open 9/5,https://www.movoto.com/home/1114-ivy-ln-cary-nc-27511-413_2340419
1746,349900,272376,239000,349000,,508 Lochness Ln,3,2,,,,,,,,https://www.movoto.com/home/508-lochness-ln-cary-nc-27511-413_2209130
1738,310000,,278000,348000,5000,1616 Burnley Dr,4,3,178,7,0.28,Acres,1978,0,,https://www.movoto.com/home/1616-burnley-dr-cary-nc-27511-413_2339621
1675,227000,249575,228000,285000,1000,107 Clancy Cir,3,3,136,19,3920,Sqft,1984,361,,https://www.movoto.com/home/107-clancy-cir-cary-nc-27511-413_2241220
1588,315000,263608,254000,314000,,1607 Dunblane Ct,4,2,198,20,0.29,Acres,1976,0,Open 9/5,https://www.movoto.com/home/1607-dunblane-ct-cary-nc-27511-413_2337121
