Status,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
FOR SALE,450000,389004,336000,452000,,1014 Brittley Way,4,3,2526,178,3,10454,Sqft,1996,80, ,https://www.movoto.com/home/1014-brittley-way-apex-nc-27502-pid_bjvx43b5jh
Coming Soon - 08/14,350000,330827,301000,355000,,1225 Anora Dr,4,2,1981,177,3,0.34,Acres,1999,40, ,https://www.movoto.com/home/1225-anora-dr-apex-nc-27502-413_2337160
FOR SALE,358000,397844,358000,443000,,2810 Crowders Ridge Ln,3,4,2518,142,3,3746,Sqft,2017,167, ,https://www.movoto.com/home/2810-crowders-ridge-ln-apex-nc-27502-413_2239140
FOR SALE,331290,334050,327000,339000,,2831 Dallas Valley Ln #46,4,4,2227,149,4,1873,Sqft,2020,125, ,https://www.movoto.com/home/2831-dallas-valley-ln-apt-46-apex-nc-27502-413_2336885
FOR SALE,395900,376812,344000,440000,,919 Olive St,4,4,2326,170,4,5663,Sqft,2018,0, ,https://www.movoto.com/home/919-olive-st-apex-nc-27502-413_2165683
FOR SALE,337600,332100,325000,345000,,2833 Dallas Valley Ln #47,4,4,2214,152,4,2352,Sqft,2020,125, ,https://www.movoto.com/home/2833-dallas-valley-ln-apt-47-apex-nc-27502-413_2336827
FOR SALE,345000,332031,318000,365000,,1788 Town Home Dr,3,3,2037,169,5,9148,Sqft,2000,25, ,https://www.movoto.com/home/1788-town-home-dr-apex-nc-27502-413_2336621
FOR SALE,495900,504642,468000,521000,,1603 Griffith Gate Ct,5,4,3342,148,5,6970,Sqft,2019,38, ,https://www.movoto.com/home/1603-griffith-gate-ct-apex-nc-27502-413_2201942
FOR SALE,357900,320606,318000,359000,,2201 Red Knot Ln #159,4,4,2242,160,6,1742,Sqft,2020,140, ,https://www.movoto.com/home/2201-red-knot-ln-apt-159-apex-nc-27502-413_2336322
FOR SALE,452675,414951,394000,452000,,3172 Mavisbank Cir,3,3,2643,171,7,6534,Sqft,2020,69, ,https://www.movoto.com/home/3172-mavisbank-cir-apex-nc-27502-413_2336155
FOR SALE,439990,417594,394000,452000,,1899 Rothesay Dr,3,3,2643,,,,,,, ,https://www.movoto.com/home/1899-rothesay-dr-apex-nc-27502-413_2336145
FOR SALE,396990,314509,301000,396000,,3176 Mavisbank Cir,3,2,1861,213,8,6490,Sqft,2020,69, ,https://www.movoto.com/home/3176-mavisbank-cir-apex-nc-27502-413_2336143
FOR SALE,449000,499392,450000,529000,17000,1911 Kings Knot Ct #122,4,4,3264,138,9,4051,Sqft,2020,69, ,https://www.movoto.com/home/1911-kings-knot-ct-apt-122-apex-nc-27502-413_2336048
FOR SALE,345000,400734,345000,454000,5000,104 Cranwell Ct,4,3,2214,,,,,,, ,https://www.movoto.com/home/104-cranwell-ct-apex-nc-27502-413_2335992
FOR SALE,360000,383376,360000,394000,,529 Metro Sta,4,4,2608,138,10,1742,Sqft,2017,163, ,https://www.movoto.com/home/529-metro-sta-apex-nc-27502-413_2335871
FOR SALE,425000,458136,404000,559000,,230 Garden Plaza Way,4,3,2727,156,10,6970,Sqft,2003,26, ,https://www.movoto.com/home/230-garden-plaza-way-apex-nc-27502-413_2335700
Coming Soon - 08/06,250000,202293,187000,250000,,111 Sweet Tart Ln,3,2,1197,209,10,8276,Sqft,1998,22, ,https://www.movoto.com/home/111-sweet-tart-ln-apex-nc-27502-413_2335684
FOR SALE,314900,319725,315000,329000,,657 Grand Central Sta #119,3,4,2205,143,11,1307,Sqft,2020,163, ,https://www.movoto.com/home/657-grand-central-sta-apt-119-apex-nc-27502-413_2335490
FOR SALE,229500,207363,179000,243000,,207 Sparta Ln,3,2,1227,187,11,3920,Sqft,1999,5, ,https://www.movoto.com/home/207-sparta-ln-apex-nc-27502-413_2192396
Coming Soon - 08/05,370000,337247,298000,370000,,703 Cameron Glen Dr,3,3,2069,179,11,0.27,Acres,1999,30, ,https://www.movoto.com/home/703-cameron-glen-dr-apex-nc-27502-413_2335367
FOR SALE,300000,269280,267000,299000,,607 Old Mill Village Dr,3,3,1870,160,12,1307,Sqft,2013,146,Open 8/22,https://www.movoto.com/home/607-old-mill-village-dr-apex-nc-27502-413_2335353
FOR SALE,322900,320430,307000,332000,1000,1413 Chipping Dr #40,3,3,1942,166,12,3049,Sqft,2020,100, ,https://www.movoto.com/home/1413-chipping-dr-apt-40-apex-nc-27502-413_2335242
FOR SALE,313900,312174,281000,330000,1000,1411 Chipping Dr #39,3,3,1927,163,12,2178,Sqft,2020,100, ,https://www.movoto.com/home/1411-chipping-dr-apt-39-apex-nc-27502-413_2335239
FOR SALE,320900,313956,289000,331000,1000,1409 Chipping Dr #38,3,3,1938,166,12,2614,Sqft,2020,100, ,https://www.movoto.com/home/1409-chipping-dr-apt-38-apex-nc-27502-413_2335234
FOR SALE,295000,294866,295000,295000,,2247 Chattering Lory Ln,4,4,2062,143,12,1742,Sqft,2018,140, ,https://www.movoto.com/home/2247-chattering-lory-ln-apex-nc-27502-413_2335152
FOR SALE,265000,317800,265000,360000,,772 Treviso Ln,3,3,1816,,,,,,, ,https://www.movoto.com/home/772-treviso-ln-apex-nc-27502-413_2335123
FOR SALE,329900,344430,302000,393000,10000,307 Piney Woods Ln,3,3,1935,,,,,,, ,https://www.movoto.com/home/307-piney-woods-ln-apex-nc-27502-413_2173236
FOR SALE,395000,521675,396000,593000,,1112 Smokewood Dr,4,3,2981,133,17,0.29,Acres,1989,25, ,https://www.movoto.com/home/1112-smokewood-dr-apex-nc-27502-413_2334326
FOR SALE,350000,282400,258000,349000,10000,554 Chessie Sta,3,3,1765,198,18,2614,Sqft,2017,163, ,https://www.movoto.com/home/554-chessie-sta-apex-nc-27502-413_2334156
FOR SALE,385000,390385,345000,429000,5000,1930 White Dogwood Rd,4,3,2395,161,18,0.28,Acres,2001,32, ,https://www.movoto.com/home/1930-white-dogwood-rd-apex-nc-27502-413_2334111
FOR SALE,499900,473976,425000,512000,5000,2321 Swansea Ln,5,3,2724,184,18,6970,Sqft,2018,60, ,https://www.movoto.com/home/2321-swansea-ln-apex-nc-27502-413_2196837
FOR SALE,483990,411476,371000,484000,13000,2977 Mavisbank Cir,3,4,2509,193,23,9409,Sqft,2020,69, ,https://www.movoto.com/home/2977-mavisbank-cir-apex-nc-27502-413_2333208
FOR SALE,436425,395136,371000,435000,5000,1907 Kings Knot Ct #123,4,4,2688,,,,,,, ,https://www.movoto.com/home/1907-kings-knot-ct-apt-123-apex-nc-27502-413_2332987
FOR SALE,399900,,400000,446000,,101 Sharp Top Trl,4,3,2856,140,24,5227,Sqft,2008,37, ,https://www.movoto.com/home/101-sharp-top-trl-apex-nc-27502-413_2332857
FOR SALE,418170,416640,382000,435000,14000,2941 Baronial St,4,3,2688,156,25,4966,Sqft,2020,69, ,https://www.movoto.com/home/2941-baronial-st-apex-nc-27502-413_2332807
FOR SALE,410980,405888,382000,435000,5000,2949 Baronial St #208,4,3,2688,153,25,4356,Sqft,2020,69, ,https://www.movoto.com/home/2949-baronial-st-apt-208-apex-nc-27502-413_2332757
FOR SALE,330900,312018,297000,331000,1000,1604 Brussels Dr #20,3,3,1938,171,28,2614,Sqft,2020,100, ,https://www.movoto.com/home/1604-brussels-dr-apt-20-apex-nc-27502-413_2332116
FOR SALE,330900,347921,322000,370000,1000,1606 Brussels Dr #19,3,3,2161,,,,,,, ,https://www.movoto.com/home/1606-brussels-dr-apt-19-apex-nc-27502-413_2332107
