Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
360000,391852,320000,430000,,1004 Mellonsbury Dr,4,3,2404,150,2,0.28,Acres,1996,0,,https://www.movoto.com/home/1004-mellonsbury-dr-apex-nc-27502-413_2336486
365000,407100,364000,440000,,2789 Masonboro Ferry Dr,4,3,2714,,,,,,,,https://www.movoto.com/home/2789-masonboro-ferry-dr-apex-nc-27502-413_2336429
360000,370524,342000,423000,,2787 Milano Ave,3,3,2406,150,7,5227,Sqft,2016,77,,https://www.movoto.com/home/2787-milano-ave-apex-nc-27502-413_2335773
344900,419436,344000,470000,,405 Piney Woods Ln,4,3,2292,,,,,,,,https://www.movoto.com/home/405-piney-woods-ln-apex-nc-27502-413_2335717
374900,364485,336000,389000,,3011 Moretz Ct,3,3,2209,170,8,0.54,Acres,1999,33,,https://www.movoto.com/home/3011-moretz-ct-apex-nc-27502-413_2335410
225000,194529,176000,225000,,104 Sweet Tart Ln,3,2,1063,212,10,5663,Sqft,1998,22,,https://www.movoto.com/home/104-sweet-tart-ln-apex-nc-27502-pid_66xx43b5jh
333000,353210,326000,368000,,2101 Frissell Ave,4,3,2090,159,49,8276,Sqft,2000,39,,https://www.movoto.com/home/2101-frissell-ave-apex-nc-27502-413_2327396
