Days,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Lot,Unit,Year,HOA,Open,Link
4,450000,414264,364000,452000,,1014 Brittley Way,4,3,2526,178,10454,Sqft,1996,80,,https://www.movoto.com/home/1014-brittley-way-apex-nc-27502-pid_bjvx43b5jh
,358000,397844,358000,443000,,2810 Crowders Ridge Ln,3,4,2518,,,,,,,https://www.movoto.com/home/2810-crowders-ridge-ln-apex-nc-27502-413_2239140
5,331290,334050,327000,339000,,2831 Dallas Valley Ln #46,4,4,2227,149,1873,Sqft,2020,125,,https://www.movoto.com/home/2831-dallas-valley-ln-apt-46-apex-nc-27502-413_2336885
,395900,374486,342000,440000,,919 Olive St,4,4,2326,,,,,,,https://www.movoto.com/home/919-olive-st-apex-nc-27502-413_2165683
5,337600,332100,325000,345000,,2833 Dallas Valley Ln #47,4,4,2214,152,2352,Sqft,2020,125,,https://www.movoto.com/home/2833-dallas-valley-ln-apt-47-apex-nc-27502-413_2336827
6,338000,332031,318000,365000,,1788 Town Home Dr,3,3,2037,166,9148,Sqft,2000,25,,https://www.movoto.com/home/1788-town-home-dr-apex-nc-27502-413_2336621
6,495900,504642,468000,521000,,1603 Griffith Gate Ct,5,4,3342,148,6970,Sqft,2019,38,,https://www.movoto.com/home/1603-griffith-gate-ct-apex-nc-27502-413_2201942
,357900,320606,318000,359000,,2201 Red Knot Ln #159,4,4,2242,,,,,,,https://www.movoto.com/home/2201-red-knot-ln-apt-159-apex-nc-27502-413_2336322
8,452675,414951,394000,452000,,3172 Mavisbank Cir,3,3,2643,171,6534,Sqft,2020,69,,https://www.movoto.com/home/3172-mavisbank-cir-apex-nc-27502-413_2336155
9,439990,417594,394000,452000,,1899 Rothesay Dr,3,3,2643,166,6752,Sqft,2020,69,,https://www.movoto.com/home/1899-rothesay-dr-apex-nc-27502-413_2336145
9,396990,333119,309000,396000,,3176 Mavisbank Cir,3,2,1861,213,6490,Sqft,2020,69,,https://www.movoto.com/home/3176-mavisbank-cir-apex-nc-27502-413_2336143
10,345000,411804,345000,454000,5000,104 Cranwell Ct,4,3,2214,156,7841,Sqft,2002,32,,https://www.movoto.com/home/104-cranwell-ct-apex-nc-27502-413_2335992
11,425000,458136,404000,559000,,230 Garden Plaza Way,4,3,2727,156,6970,Sqft,2003,26,,https://www.movoto.com/home/230-garden-plaza-way-apex-nc-27502-413_2335700
,314900,319725,315000,329000,,657 Grand Central Sta #119,3,4,2205,,,,,,,https://www.movoto.com/home/657-grand-central-sta-apt-119-apex-nc-27502-413_2335490
12,229500,207363,179000,243000,,207 Sparta Ln,3,2,1227,187,3920,Sqft,1999,5,,https://www.movoto.com/home/207-sparta-ln-apex-nc-27502-413_2192396
13,300000,269280,267000,299000,,607 Old Mill Village Dr,3,3,1870,160,1307,Sqft,2013,146,Open 8/22,https://www.movoto.com/home/607-old-mill-village-dr-apex-nc-27502-413_2335353
13,322900,320430,307000,332000,1000,1413 Chipping Dr #40,3,3,1942,166,3049,Sqft,2020,100,,https://www.movoto.com/home/1413-chipping-dr-apt-40-apex-nc-27502-413_2335242
13,313900,312174,281000,330000,1000,1411 Chipping Dr #39,3,3,1927,163,2178,Sqft,2020,100,,https://www.movoto.com/home/1411-chipping-dr-apt-39-apex-nc-27502-413_2335239
13,320900,313956,289000,331000,1000,1409 Chipping Dr #38,3,3,1938,166,2614,Sqft,2020,100,,https://www.movoto.com/home/1409-chipping-dr-apt-38-apex-nc-27502-413_2335234
,295000,294866,295000,295000,,2247 Chattering Lory Ln,4,4,2062,,,,,,,https://www.movoto.com/home/2247-chattering-lory-ln-apex-nc-27502-413_2335152
14,265000,317800,265000,360000,,772 Treviso Ln,3,3,1816,146,2178,Sqft,2014,130,,https://www.movoto.com/home/772-treviso-ln-apex-nc-27502-413_2335123
19,350000,282400,258000,349000,10000,554 Chessie Sta,3,3,1765,198,2614,Sqft,2017,163,,https://www.movoto.com/home/554-chessie-sta-apex-nc-27502-413_2334156
19,385000,390385,345000,429000,5000,1930 White Dogwood Rd,4,3,2395,161,0.28,Acres,2001,32,,https://www.movoto.com/home/1930-white-dogwood-rd-apex-nc-27502-413_2334111
