Size,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Value,Days,Lot,Unit,Year,HOA,Open,Link
3342,495900,504642,468000,521000,,1603 Griffith Gate Ct,5,4,148,5,6970,Sqft,2019,38,,https://www.movoto.com/home/1603-griffith-gate-ct-apex-nc-27502-413_2201942
3291,485900,638454,487000,731000,7000,3565 Willow Green Dr,5,3,,,,,,,,https://www.movoto.com/home/3565-willow-green-dr-apex-nc-27502-413_2243968
3266,464900,529092,464000,617000,5000,1596 Tice Hurst Ln,5,4,142,86,7405,Sqft,2013,69,,https://www.movoto.com/home/1596-tice-hurst-ln-apex-nc-27502-413_2320897
3264,449000,499392,450000,529000,17000,1911 Kings Knot Ct #122,4,4,138,9,4051,Sqft,2020,69,,https://www.movoto.com/home/1911-kings-knot-ct-apt-122-apex-nc-27502-413_2336048
3162,499000,515406,474000,563000,,1503 Thassos Dr,5,4,158,77,7405,Sqft,2016,49,,https://www.movoto.com/home/1503-thassos-dr-apex-nc-27502-413_2261041
3129,449900,522543,451000,560000,10000,1203 Anora Dr,6,4,144,58,0.26,Acres,1996,40,,https://www.movoto.com/home/1203-anora-dr-apex-nc-27502-413_2326278
3016,449973,488592,449000,516000,4000,2900 Patmos Island Dr,5,3,149,54,6098,Sqft,2020,65,,https://www.movoto.com/home/2900-patmos-island-dr-apex-nc-27502-413_2326758
3002,448480,486324,447000,513000,800,1513 Tinos Overlook Way,5,3,,,,,,,,https://www.movoto.com/home/1513-tinos-overlook-way-apex-nc-27502-413_2187043
2996,474990,521304,473000,578000,10000,2985 Mavisbank Cir,3,4,159,37,7841,Sqft,2020,69,,https://www.movoto.com/home/2985-mavisbank-cir-apex-nc-27502-413_2330449
2981,395000,521675,396000,593000,,1112 Smokewood Dr,4,3,133,17,0.29,Acres,1989,25,,https://www.movoto.com/home/1112-smokewood-dr-apex-nc-27502-413_2334326
2900,480000,490100,458000,525000,,1601 Tinos Overlook Way,4,4,,,,,,,,https://www.movoto.com/home/1601-tinos-overlook-way-apex-nc-27502-413_2089427
2856,399900,,400000,446000,,101 Sharp Top Trl,4,3,140,24,5227,Sqft,2008,37,,https://www.movoto.com/home/101-sharp-top-trl-apex-nc-27502-413_2332857
