Year,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,HOA,Open,Link
2020,331290,334050,327000,339000,,2831 Dallas Valley Ln #46,4,4,2227,149,4,1873,Sqft,125,,https://www.movoto.com/home/2831-dallas-valley-ln-apt-46-apex-nc-27502-413_2336885
2020,337600,332100,325000,345000,,2833 Dallas Valley Ln #47,4,4,2214,152,4,2352,Sqft,125,,https://www.movoto.com/home/2833-dallas-valley-ln-apt-47-apex-nc-27502-413_2336827
2020,357900,320606,318000,359000,,2201 Red Knot Ln #159,4,4,2242,160,6,1742,Sqft,140,,https://www.movoto.com/home/2201-red-knot-ln-apt-159-apex-nc-27502-413_2336322
2020,452675,414951,394000,452000,,3172 Mavisbank Cir,3,3,2643,171,7,6534,Sqft,69,,https://www.movoto.com/home/3172-mavisbank-cir-apex-nc-27502-413_2336155
2020,396990,314509,301000,396000,,3176 Mavisbank Cir,3,2,1861,213,8,6490,Sqft,69,,https://www.movoto.com/home/3176-mavisbank-cir-apex-nc-27502-413_2336143
2020,449000,499392,450000,529000,17000,1911 Kings Knot Ct #122,4,4,3264,138,9,4051,Sqft,69,,https://www.movoto.com/home/1911-kings-knot-ct-apt-122-apex-nc-27502-413_2336048
2020,314900,319725,315000,329000,,657 Grand Central Sta #119,3,4,2205,143,11,1307,Sqft,163,,https://www.movoto.com/home/657-grand-central-sta-apt-119-apex-nc-27502-413_2335490
2020,322900,320430,307000,332000,1000,1413 Chipping Dr #40,3,3,1942,166,12,3049,Sqft,100,,https://www.movoto.com/home/1413-chipping-dr-apt-40-apex-nc-27502-413_2335242
2020,313900,312174,281000,330000,1000,1411 Chipping Dr #39,3,3,1927,163,12,2178,Sqft,100,,https://www.movoto.com/home/1411-chipping-dr-apt-39-apex-nc-27502-413_2335239
2020,320900,313956,289000,331000,1000,1409 Chipping Dr #38,3,3,1938,166,12,2614,Sqft,100,,https://www.movoto.com/home/1409-chipping-dr-apt-38-apex-nc-27502-413_2335234
2020,483990,411476,371000,484000,13000,2977 Mavisbank Cir,3,4,2509,193,23,9409,Sqft,69,,https://www.movoto.com/home/2977-mavisbank-cir-apex-nc-27502-413_2333208
2020,418170,416640,382000,435000,14000,2941 Baronial St,4,3,2688,156,25,4966,Sqft,69,,https://www.movoto.com/home/2941-baronial-st-apex-nc-27502-413_2332807
2020,410980,405888,382000,435000,5000,2949 Baronial St #208,4,3,2688,153,25,4356,Sqft,69,,https://www.movoto.com/home/2949-baronial-st-apt-208-apex-nc-27502-413_2332757
2020,330900,312018,297000,331000,1000,1604 Brussels Dr #20,3,3,1938,171,28,2614,Sqft,100,,https://www.movoto.com/home/1604-brussels-dr-apt-20-apex-nc-27502-413_2332116
2020,340900,344960,321000,369000,1000,1610 Brussels Dr #17,3,3,2156,158,28,3049,Sqft,100,,https://www.movoto.com/home/1610-brussels-dr-apt-17-apex-nc-27502-413_2332091
2020,299900,299442,297000,299000,8000,1123 Diamond Dove Ln #157,4,4,2094,143,31,1742,Sqft,140,,https://www.movoto.com/home/1123-diamond-dove-ln-apt-157-apex-nc-27502-413_2331624
2020,299900,299442,297000,299000,9000,1121 Diamond Dove Ln #156,4,4,2094,143,31,1742,Sqft,140,,https://www.movoto.com/home/1121-diamond-dove-ln-apt-156-apex-nc-27502-413_2331592
2020,299900,299442,297000,299000,11000,1117 Diamond Dove Ln #154,4,4,2094,143,31,1742,Sqft,140,,https://www.movoto.com/home/1117-diamond-dove-ln-apt-154-apex-nc-27502-413_2331557
2020,299900,301587,299000,302000,11000,1115 Diamond Dove Ln #153,4,4,2109,142,31,1742,Sqft,140,,https://www.movoto.com/home/1115-diamond-dove-ln-apt-153-apex-nc-27502-413_2331534
2019,495900,504642,468000,521000,,1603 Griffith Gate Ct,5,4,3342,148,5,6970,Sqft,38,,https://www.movoto.com/home/1603-griffith-gate-ct-apex-nc-27502-413_2201942
2018,395900,376812,344000,440000,,919 Olive St,4,4,2326,170,4,5663,Sqft,0,,https://www.movoto.com/home/919-olive-st-apex-nc-27502-413_2165683
2018,295000,294866,295000,295000,,2247 Chattering Lory Ln,4,4,2062,143,12,1742,Sqft,140,,https://www.movoto.com/home/2247-chattering-lory-ln-apex-nc-27502-413_2335152
2018,499900,473976,425000,512000,5000,2321 Swansea Ln,5,3,2724,184,18,6970,Sqft,60,,https://www.movoto.com/home/2321-swansea-ln-apex-nc-27502-413_2196837
2018,304900,303446,301000,306000,5000,1046 Brownsmith Dr,4,4,2122,144,31,1742,Sqft,119,,https://www.movoto.com/home/1046-brownsmith-dr-apex-nc-27502-413_2196180
2017,358000,397844,358000,443000,,2810 Crowders Ridge Ln,3,4,2518,142,3,3746,Sqft,167,,https://www.movoto.com/home/2810-crowders-ridge-ln-apex-nc-27502-413_2239140
2017,360000,383376,360000,394000,,529 Metro Sta,4,4,2608,138,10,1742,Sqft,163,,https://www.movoto.com/home/529-metro-sta-apex-nc-27502-413_2335871
2013,300000,269280,267000,299000,,607 Old Mill Village Dr,3,3,1870,160,12,1307,Sqft,146,Open 8/22,https://www.movoto.com/home/607-old-mill-village-dr-apex-nc-27502-413_2335353
2008,399900,,400000,446000,,101 Sharp Top Trl,4,3,2856,140,24,5227,Sqft,37,,https://www.movoto.com/home/101-sharp-top-trl-apex-nc-27502-413_2332857
2003,425000,458136,404000,559000,,230 Garden Plaza Way,4,3,2727,156,10,6970,Sqft,26,,https://www.movoto.com/home/230-garden-plaza-way-apex-nc-27502-413_2335700
2000,345000,332031,318000,365000,,1788 Town Home Dr,3,3,2037,169,5,9148,Sqft,25,,https://www.movoto.com/home/1788-town-home-dr-apex-nc-27502-413_2336621
1996,450000,389004,336000,452000,,1014 Brittley Way,4,3,2526,178,3,10454,Sqft,80,,https://www.movoto.com/home/1014-brittley-way-apex-nc-27502-pid_bjvx43b5jh
,439990,417594,394000,452000,,1899 Rothesay Dr,3,3,2643,,,,,,,https://www.movoto.com/home/1899-rothesay-dr-apex-nc-27502-413_2336145
,345000,400734,345000,454000,5000,104 Cranwell Ct,4,3,2214,,,,,,,https://www.movoto.com/home/104-cranwell-ct-apex-nc-27502-413_2335992
1999,229500,207363,179000,243000,,207 Sparta Ln,3,2,1227,187,11,3920,Sqft,5,,https://www.movoto.com/home/207-sparta-ln-apex-nc-27502-413_2192396
,265000,317800,265000,360000,,772 Treviso Ln,3,3,1816,,,,,,,https://www.movoto.com/home/772-treviso-ln-apex-nc-27502-413_2335123
,329900,344430,302000,393000,10000,307 Piney Woods Ln,3,3,1935,,,,,,,https://www.movoto.com/home/307-piney-woods-ln-apex-nc-27502-413_2173236
2020,308790,328812,304000,354000,,1397 Herb Garden Way,4,4,2068,149,33,2614,Sqft,199,,https://www.movoto.com/home/1397-herb-garden-way-apex-nc-27502-413_2331091
2020,303790,335016,304000,383000,,1395 Herb Garden Way,4,4,2068,147,33,2614,Sqft,199,,https://www.movoto.com/home/1395-herb-garden-way-apex-nc-27502-413_2331088
2020,349710,371588,339000,427000,5000,1282 Barn Cat Way Lot 212- Gibbons 3 #LOT 212- GIBBONS 3,4,4,2308,152,33,2614,Sqft,199,,https://www.movoto.com/home/1282-barn-cat-way-lot-212-gibbons-3-lot-212-gibbons-3-apex-nc-27502-413_2330973
2020,323900,329574,318000,359000,12000,1111 Diamond Dove Ln #151,4,4,2242,144,34,1742,Sqft,140,,https://www.movoto.com/home/1111-diamond-dove-ln-apt-151-apex-nc-27502-413_2330720
2020,299900,,297000,299000,12000,1113 Diamond Dove Ln #152,4,4,2094,143,39,1742,Sqft,140,,https://www.movoto.com/home/1113-diamond-dove-ln-apt-152-apex-nc-27502-413_2329977
2020,319900,317115,313000,330000,,697 Grand Central Sta #135,3,4,2187,146,39,1307,Sqft,163,,https://www.movoto.com/home/697-grand-central-sta-apt-135-apex-nc-27502-413_2329811
2020,334900,320885,316000,334000,,699 Grand Central Sta #136,3,4,2213,151,39,1742,Sqft,163,,https://www.movoto.com/home/699-grand-central-sta-apt-136-apex-nc-27502-413_2329799
2020,314900,320305,316000,329000,,655 Grand Central Sta #118,3,4,2209,143,41,1307,Sqft,163,Open 8/21,https://www.movoto.com/home/655-grand-central-sta-apt-118-apex-nc-27502-413_2329433
2020,449987,414220,395000,450000,2000,2951 Lemnos Dr,5,3,2780,162,41,5663,Sqft,65,,https://www.movoto.com/home/2951-lemnos-dr-apex-nc-27502-413_2329407
2020,331290,336277,327000,347000,3000,2804 Dallas Valley Ln #81,4,4,2227,149,45,2091,Sqft,125,,https://www.movoto.com/home/2804-dallas-valley-ln-apt-81-apex-nc-27502-413_2328861
2020,338240,323032,319000,338000,3000,2808 Dallas Valley Ln #79,4,4,2168,156,45,2004,Sqft,125,,https://www.movoto.com/home/2808-dallas-valley-ln-apt-79-apex-nc-27502-413_2328855
2020,449973,488592,449000,516000,4000,2900 Patmos Island Dr,5,3,3016,149,54,6098,Sqft,65,,https://www.movoto.com/home/2900-patmos-island-dr-apex-nc-27502-413_2326758
2020,418910,371340,342000,439000,800,2970 Lemnos Dr,3,3,2063,203,69,6534,Sqft,65,,https://www.movoto.com/home/2970-lemnos-dr-apex-nc-27502-413_2323945
2020,345900,,321000,369000,2000,1482 Salem Creek Dr #24,3,3,2156,160,89,2614,Sqft,100,,https://www.movoto.com/home/1482-salem-creek-dr-apt-24-apex-nc-27502-413_2320205
2020,338900,,337000,362000,2000,1484 Salem Creek Dr #23,3,3,2292,148,89,2614,Sqft,100,,https://www.movoto.com/home/1484-salem-creek-dr-apt-23-apex-nc-27502-413_2320204
2020,350000,,336000,361000,1000,1488 Salem Creek Dr #21,3,3,2284,153,89,2614,Sqft,100,,https://www.movoto.com/home/1488-salem-creek-dr-apt-21-apex-nc-27502-413_2320202
2019,294990,279200,251000,295000,5000,430 Oak Pine Dr #375,3,4,1745,169,485,784,Sqft,111,,https://www.movoto.com/home/430-oak-pine-dr-apt-375-apex-nc-27502-413_2249906
2018,389900,328264,315000,390000,5000,2123 Gregor Overlook Ln,3,3,2218,176,50,4617,Sqft,53,,https://www.movoto.com/home/2123-gregor-overlook-ln-apex-nc-27502-413_2200126
2017,350000,282400,258000,349000,10000,554 Chessie Sta,3,3,1765,198,18,2614,Sqft,163,,https://www.movoto.com/home/554-chessie-sta-apex-nc-27502-413_2334156
2017,325000,316820,312000,326000,4000,1034 Brownsmith Dr,4,4,2170,150,38,2178,Sqft,119,,https://www.movoto.com/home/1034-brownsmith-dr-apex-nc-27502-413_2330304
2008,425000,450124,408000,536000,,1002 Towhee Dr,3,3,2617,162,28,8712,Sqft,32,,https://www.movoto.com/home/1002-towhee-dr-apex-nc-27502-413_2331968
2003,359900,393752,361000,425000,,1002 Chickering Ct,3,3,2372,152,31,0.35,Acres,15,,https://www.movoto.com/home/1002-chickering-ct-apex-nc-27502-413_2331405
2001,385000,390385,345000,429000,5000,1930 White Dogwood Rd,4,3,2395,161,18,0.28,Acres,32,,https://www.movoto.com/home/1930-white-dogwood-rd-apex-nc-27502-413_2334111
1989,395000,521675,396000,593000,,1112 Smokewood Dr,4,3,2981,133,17,0.29,Acres,25,,https://www.movoto.com/home/1112-smokewood-dr-apex-nc-27502-413_2334326
,436425,395136,371000,435000,5000,1907 Kings Knot Ct #123,4,4,2688,,,,,,,https://www.movoto.com/home/1907-kings-knot-ct-apt-123-apex-nc-27502-413_2332987
,330900,347921,322000,370000,1000,1606 Brussels Dr #19,3,3,2161,,,,,,,https://www.movoto.com/home/1606-brussels-dr-apt-19-apex-nc-27502-413_2332107
2000,420000,,420000,552000,9000,1004 Towhee Dr,4,3,2695,156,31,8276,Sqft,32,,https://www.movoto.com/home/1004-towhee-dr-apex-nc-27502-413_2134387
