Days,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Lot,Unit,Year,HOA,Open,Link
Listed Today,444900,426594,386000,467000,,200 Danton Dr,4,4,2902,153,10019,Sqft,1995,15,,https://www.movoto.com/home/200-danton-dr-cary-nc-27518-413_2331234
2,344000,417368,341000,518000,,103 Tiercel Ct,3,2,2056,167,7841,Sqft,1985,13,,https://www.movoto.com/home/103-tiercel-ct-cary-nc-27518-413_2311892
5,469900,430008,385000,487000,,101 Weatherly Pl,4,3,2829,166,0.43,Acres,1992,27,,https://www.movoto.com/home/101-weatherly-pl-cary-nc-27518-413_2339053
9,480000,498451,449000,551000,,108 Glenrose Ln,4,3,3301,145,0.27,Acres,1990,51,,https://www.movoto.com/home/108-glenrose-ln-cary-nc-27518-413_2338528
,355000,400328,356000,422000,15000,100 Royce Dr,4,3,2456,,,,,,,https://www.movoto.com/home/100-royce-dr-cary-nc-27518-413_2211163
30,399300,464402,394000,543000,5000,201 E Wind Ln,3,3,2609,153,4792,Sqft,1985,301,,https://www.movoto.com/home/201-e-wind-ln-cary-nc-27518-413_2305406
,475000,521520,475000,579000,,613 Churton Pl,3,3,2120,,,,,,,https://www.movoto.com/home/613-churton-pl-cary-nc-27518-413_2332808
,459900,403104,387000,460000,17000,813 Churton Pl,3,2,1824,,,,,,,https://www.movoto.com/home/813-churton-pl-cary-nc-27518-413_2331958
55,459900,474782,447000,496000,8000,106 Scots Fir Ln,4,3,3083,149,9148,Sqft,1999,50,,https://www.movoto.com/home/106-scots-fir-ln-cary-nc-27518-pid_ceqy43b5jh
,489000,547305,487000,590000,10000,1018 Regency Cottage Pl,4,4,3531,,,,,,,https://www.movoto.com/home/1018-regency-cottage-pl-cary-nc-27518-413_2327142
87,415000,336698,290000,416000,15000,310 Canon Gate Dr,4,3,2131,195,0.34,Acres,2000,48,,https://www.movoto.com/home/310-canon-gate-dr-cary-nc-27518-413_2295981
110,409900,387144,360000,428000,10000,805 Churton Pl,3,3,1698,241,3049,Sqft,2020,180,,https://www.movoto.com/home/805-churton-pl-cary-nc-27539-413_2318575
110,465000,521118,465000,561000,,809 Churton Pl,3,3,2227,209,4792,Sqft,2020,180,,https://www.movoto.com/home/809-churton-pl-cary-nc-27539-413_2318565
110,439900,424992,395000,470000,4000,801 Churton Pl,3,3,1864,236,5227,Sqft,2020,180,,https://www.movoto.com/home/801-churton-pl-cary-nc-27539-413_2318560
173,465000,416160,375000,465000,4000,1016 Regency Cottage Pl,4,3,2720,171,5663,Sqft,2018,265,,https://www.movoto.com/home/1016-regency-cottage-pl-cary-nc-27518-413_2198538
174,299900,185888,172000,300000,,2601 Pink Acres St,3,2,1184,253,0.59,Acres,1960,0,,https://www.movoto.com/home/2601-pink-acres-st-cary-nc-27518-413_2306811
,495000,423800,398000,494000,50000,109 Putney Dr,4,3,2600,,,,,,,https://www.movoto.com/home/109-putney-dr-cary-nc-27518-413_2296285
262,500000,479668,447000,499000,30000,926 Regency Cottage Pl #LOT 117,4,4,3241,154,4356,Sqft,2020,265,,https://www.movoto.com/home/926-regency-cottage-pl-lot-117-cary-nc-27518-413_2292478
