Size,Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Value,Days,Lot,Unit,Year,HOA,Open,Link
3531,489000,547305,487000,590000,10000,1018 Regency Cottage Pl,4,4,138,69,6229,Sqft,2016,260,,https://www.movoto.com/home/1018-regency-cottage-pl-cary-nc-27518-413_2327142
3301,480000,498451,449000,551000,,108 Glenrose Ln,4,3,145,12,0.27,Acres,1990,51,,https://www.movoto.com/home/108-glenrose-ln-cary-nc-27518-413_2338528
3241,500000,479668,447000,499000,30000,926 Regency Cottage Pl #LOT 117,4,4,154,265,4356,Sqft,2020,265,,https://www.movoto.com/home/926-regency-cottage-pl-lot-117-cary-nc-27518-413_2292478
3083,459900,474782,447000,496000,8000,106 Scots Fir Ln,4,3,149,57,9148,Sqft,1999,50,,https://www.movoto.com/home/106-scots-fir-ln-cary-nc-27518-pid_ceqy43b5jh
3069,409900,558558,411000,743000,,105 Durington Pl,4,3,134,7,0.28,Acres,1990,52,,https://www.movoto.com/home/105-durington-pl-cary-nc-27518-pid_jp4y43b5jh
2902,444900,417888,389000,444000,,200 Danton Dr,4,4,153,3,10019,Sqft,1995,15,,https://www.movoto.com/home/200-danton-dr-cary-nc-27518-413_2331234
2829,469900,415863,379000,487000,,101 Weatherly Pl,4,3,166,8,0.43,Acres,1992,27,,https://www.movoto.com/home/101-weatherly-pl-cary-nc-27518-413_2339053
2720,465000,416160,375000,465000,4000,1016 Regency Cottage Pl,4,3,,,,,,,,https://www.movoto.com/home/1016-regency-cottage-pl-cary-nc-27518-413_2198538
2609,399300,464402,394000,543000,5000,201 E Wind Ln,3,3,153,32,4792,Sqft,1985,301,,https://www.movoto.com/home/201-e-wind-ln-cary-nc-27518-413_2305406
2600,495000,413400,382000,494000,50000,109 Putney Dr,4,3,190,232,8015,Sqft,2021,40,,https://www.movoto.com/home/109-putney-dr-cary-nc-27518-413_2296285
2456,355000,380680,334000,422000,15000,100 Royce Dr,4,3,145,24,0.53,Acres,1994,16,,https://www.movoto.com/home/100-royce-dr-cary-nc-27518-413_2211163
2227,465000,521118,465000,561000,,809 Churton Pl,3,3,209,113,4792,Sqft,2020,180,,https://www.movoto.com/home/809-churton-pl-cary-nc-27539-413_2318565
2131,415000,328174,290000,416000,15000,310 Canon Gate Dr,4,3,,,,,,,,https://www.movoto.com/home/310-canon-gate-dr-cary-nc-27518-413_2295981
2120,475000,521520,475000,579000,,613 Churton Pl,3,3,,,,,,,,https://www.movoto.com/home/613-churton-pl-cary-nc-27518-413_2332808
2056,344000,425592,341000,518000,,103 Tiercel Ct,3,2,167,5,7841,Sqft,1985,13,,https://www.movoto.com/home/103-tiercel-ct-cary-nc-27518-413_2311892
1864,439900,424992,395000,470000,4000,801 Churton Pl,3,3,,,,,,,,https://www.movoto.com/home/801-churton-pl-cary-nc-27539-413_2318560
1824,459900,395808,379000,460000,17000,813 Churton Pl,3,2,252,44,5009,Sqft,2020,180,,https://www.movoto.com/home/813-churton-pl-cary-nc-27518-413_2331958
1698,409900,387144,360000,428000,10000,805 Churton Pl,3,3,,,,,,,,https://www.movoto.com/home/805-churton-pl-cary-nc-27539-413_2318575
1184,299900,185888,172000,300000,,2601 Pink Acres St,3,2,,,,,,,,https://www.movoto.com/home/2601-pink-acres-st-cary-nc-27518-413_2306811
