Price,Est.,Min.,Max.,Reduced,Address,Bed,Bath,Size,Value,Days,Lot,Unit,Year,HOA,Open,Link
435000,409456,362000,470000,,106 Glenrose Ln,4,4,2512,173,4,0.26,Acres,1990,51,,https://www.movoto.com/home/106-glenrose-ln-cary-nc-27518-413_2336265
399900,456570,382000,569000,,117 Crilly Ln,4,3,2670,150,6,9583,Sqft,1994,14,,https://www.movoto.com/home/117-crilly-ln-cary-nc-27518-413_2336073
469900,477108,409000,540000,,549 Angelica Cir,4,3,2742,,,,,,,,https://www.movoto.com/home/549-angelica-cir-cary-nc-27518-413_2335434
435000,436896,384000,498000,15000,403 Canon Gate Dr,4,3,2664,163,15,0.25,Acres,1999,48,,https://www.movoto.com/home/403-canon-gate-dr-cary-nc-27518-413_2333949
500000,537342,466000,631000,,110 Gorge Ct,5,3,3237,154,18,0.34,Acres,1992,3,,https://www.movoto.com/home/110-gorge-ct-cary-nc-27518-413_2333508
435000,464580,384000,521000,,104 Lantern Green Ct,4,3,2670,,,,,,,,https://www.movoto.com/home/104-lantern-green-ct-cary-nc-27518-413_2331192
315000,,265000,325000,,105 Benedum Pl,3,3,2009,,,,,,,,https://www.movoto.com/home/105-benedum-pl-cary-nc-27518-413_2330130
375000,395850,328000,444000,,308 Autumngate Dr,4,3,2275,165,35,0.26,Acres,1996,57,,https://www.movoto.com/home/308-autumngate-dr-cary-nc-27518-413_2330044
385000,,273000,390000,10000,109 Quarter Path,3,3,1829,210,37,8276,Sqft,1992,122,,https://www.movoto.com/home/109-quarter-path-cary-nc-27518-413_2134307
500000,530540,466000,631000,,117 Parson Woods Ln,4,3,3235,155,43,0.39,Acres,1997,58,,https://www.movoto.com/home/117-parson-woods-ln-cary-nc-27518-413_2328705
460000,454410,410000,515000,,102 Hollycliff Ln,4,3,2754,167,48,10454,Sqft,1990,50,,https://www.movoto.com/home/102-hollycliff-ln-cary-nc-27518-413_2195210
275000,339405,276000,391000,10000,2712 Cowley Rd,3,2,2057,134,85,0.50,Acres,2011,0,,https://www.movoto.com/home/2712-cowley-rd-cary-nc-27518-413_2320497
378000,416520,345000,493000,10000,201 Palace Grn,3,3,2314,163,98,10019,Sqft,1994,60,,https://www.movoto.com/home/201-palace-grn-cary-nc-27518-413_2317935
500000,481600,400000,596000,,105 Putney Dr,4,4,2800,179,176,8668,Sqft,2020,44,,https://www.movoto.com/home/105-putney-dr-cary-nc-27518-413_2303213
